Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sample_PRO1322_PlateA_A10_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_A10_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_A11_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_A11_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_A12_R1_val_1	0.13201133411597196	0.1046661291919492
Sample_PRO1322_PlateA_A12_R2_val_2	0.13201133411597196	0.11173816494816197
Sample_PRO1322_PlateA_A1_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_A1_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_A2_R1_val_1	0.5222263919513385	3.9351165185749735
Sample_PRO1322_PlateA_A2_R2_val_2	0.4896545276061617	4.017420886411079
Sample_PRO1322_PlateA_A3_R1_val_1	0.5045635603946554	2.0719699803286753
Sample_PRO1322_PlateA_A3_R2_val_2	0.4743938123298079	2.214882563792458
Sample_PRO1322_PlateA_A4_R1_val_1	0.6461958015289357	23.774826940996512
Sample_PRO1322_PlateA_A4_R2_val_2	0.6403010159787433	26.073300689689923
Sample_PRO1322_PlateA_A5_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_A5_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_A6_R1_val_1	0.3021615468317205	0.911233294933425
Sample_PRO1322_PlateA_A6_R2_val_2	0.3355277220345819	0.8973820560429736
Sample_PRO1322_PlateA_A7_R1_val_1	1.0596162342990596	1.6844978855014834
Sample_PRO1322_PlateA_A7_R2_val_2	0.9972858675755856	1.8091586189484314
Sample_PRO1322_PlateA_A8_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_A8_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_A9_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_A9_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_B10_R1_val_1	0.3128847773961506	0.26448383124878483
Sample_PRO1322_PlateA_B10_R2_val_2	0.3207828397381894	0.26590143218197143
Sample_PRO1322_PlateA_B11_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_B11_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_B12_R1_val_1	0.3796385543274847	0.45586438520605366
Sample_PRO1322_PlateA_B12_R2_val_2	0.38833372137541555	0.4573279816470407
Sample_PRO1322_PlateA_B2_R1_val_1	0.24377397383602745	0.24280216882583155
Sample_PRO1322_PlateA_B2_R2_val_2	0.2540662723531027	0.2311239438453518
Sample_PRO1322_PlateA_B3_R1_val_1	1.016268728779982	2.115191417593051
Sample_PRO1322_PlateA_B3_R2_val_2	0.9481597531514396	2.1580658487463165
Sample_PRO1322_PlateA_B4_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_B4_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_B5_R1_val_1	0.22641110095609004	3.432617231808287
Sample_PRO1322_PlateA_B5_R2_val_2	0.2753358367427066	4.2219120190617305
Sample_PRO1322_PlateA_B6_R1_val_1	0.5960200085331409	0.6750815465476716
Sample_PRO1322_PlateA_B6_R2_val_2	0.6791340238346835	0.7425973473859993
Sample_PRO1322_PlateA_B7_R1_val_1	1.854443463718294	2.5073360896899874
Sample_PRO1322_PlateA_B7_R2_val_2	1.7352078107095295	2.7484447102728486
Sample_PRO1322_PlateA_B8_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_B8_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_C10_R1_val_1	0.22506071238921846	0.21168510354867062
Sample_PRO1322_PlateA_C10_R2_val_2	0.21970331612099903	0.2085593596645426
Sample_PRO1322_PlateA_C11_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_C11_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_C1_R1_val_1	0.5576196061163327	0.5096390733166957
Sample_PRO1322_PlateA_C1_R2_val_2	0.6357894711888635	0.4959963872365619
Sample_PRO1322_PlateA_C3_R1_val_1	0.34422480966245955	0.248127220968881
Sample_PRO1322_PlateA_C3_R2_val_2	0.299001496724627	0.29878295120128234
Sample_PRO1322_PlateA_C5_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_C5_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_C6_R1_val_1	0.6167779353263224	0.9614153767379573
Sample_PRO1322_PlateA_C6_R2_val_2	0.6256736095445773	0.976823355855614
