Sample	percent_trimmed	bp_processed	r_with_adapters	bp_written	r_processed	quality_trimmed
Sample_PRO1322_PlateA_A10_R1	1.7879373432683892	1059821703	2251843	1040872755	8416759	3419395
Sample_PRO1322_PlateA_A10_R2	1.9544452563451609	1059821703	2297132	1039108068	8416759	5184003
Sample_PRO1322_PlateA_A11_R1	2.439513954562773	1423261504	3106912	1388540841	11302400	6400974
Sample_PRO1322_PlateA_A11_R2	2.6242204187376097	1423261504	3194341	1385911985	11302400	8954993
Sample_PRO1322_PlateA_A12_R1	1.8791628675662315	27759861	60142	27238208	220471	90372
Sample_PRO1322_PlateA_A12_R2	2.1539156842319924	27759861	61427	27161937	220471	167337
Sample_PRO1322_PlateA_A1_R1	2.240283103893044	1373848151	2717086	1343070063	10909263	5846906
Sample_PRO1322_PlateA_A1_R2	2.407422900116419	1373848151	2802854	1340773816	10909263	7977737
Sample_PRO1322_PlateA_A2_R1	1.899924258547948	2235800812	4814078	2193322290	17755831	7457614
Sample_PRO1322_PlateA_A2_R2	2.15564565239097	2235800812	4869600	2187604869	17755831	13427322
Sample_PRO1322_PlateA_A3_R1	2.560058832641571	1718724798	3964126	1674724432	13649817	4960814
Sample_PRO1322_PlateA_A3_R2	2.7417246818591607	1718724798	4013370	1671602096	13649817	8270588
Sample_PRO1322_PlateA_A4_R1	1.546758779507418	2335218683	5116832	2299098483	18545378	7961668
Sample_PRO1322_PlateA_A4_R2	1.6548830429171417	2335218683	5280603	2296573545	18545378	10053011
Sample_PRO1322_PlateA_A5_R1	1.4784014049122929	2167321060	4115701	2135279355	17209015	6610651
Sample_PRO1322_PlateA_A5_R2	1.6690720478672414	2167321060	4188644	2131146910	17209015	10865417
Sample_PRO1322_PlateA_A6_R1	1.878085360075362	2182109976	4916294	2141128088	17327846	7867817
Sample_PRO1322_PlateA_A6_R2	2.0653641427649108	2182109976	5007202	2137041459	17327846	11848943
Sample_PRO1322_PlateA_A7_R1	1.737465899117986	16467316	32650	16181202	130774	70140
Sample_PRO1322_PlateA_A7_R2	1.7471821151667948	16467316	33958	16179602	130774	70187
Sample_PRO1322_PlateA_A8_R1	1.3618853323304616	1952108549	4059067	1925523069	15502332	7418262
Sample_PRO1322_PlateA_A8_R2	1.4956235919849967	1952108549	4178335	1922912353	15502332	10007290
Sample_PRO1322_PlateA_A9_R1	1.4712648992801145	3148708504	6927580	3102382661	25007775	7288670
Sample_PRO1322_PlateA_A9_R2	1.7490668929828634	3148708504	7039140	3093635486	25007775	16304462
Sample_PRO1322_PlateA_B10_R1	1.8380551280999518	64409548	139784	63225665	511554	174304
Sample_PRO1322_PlateA_B10_R2	2.0205932822257964	64409548	141500	63108093	511554	297807
Sample_PRO1322_PlateA_B11_R1	1.365050398313572	2191836436	4146998	2161916764	17406671	9846521
Sample_PRO1322_PlateA_B11_R2	1.418532673758326	2191836436	4299048	2160744520	17406671	10837565
Sample_PRO1322_PlateA_B12_R1	1.732637581551812	2408099619	4885990	2366375980	19125326	5913840
Sample_PRO1322_PlateA_B12_R2	1.8949985972320358	2408099619	4984283	2362466165	19125326	9845201
Sample_PRO1322_PlateA_B2_R1	1.275298828164501	2335836303	4845306	2306047410	18550043	5353595
Sample_PRO1322_PlateA_B2_R2	1.5426405503553815	2335836303	4896382	2299802745	18550043	11910631
Sample_PRO1322_PlateA_B3_R1	3.4166753346048138	1283407866	3117054	1239557986	10192784	3803639
Sample_PRO1322_PlateA_B3_R2	3.67050173588386	1283407866	3160250	1236300358	10192784	7354988
Sample_PRO1322_PlateA_B4_R1	1.9644768141456548	2340287280	5319864	2294312879	18585604	6385363
Sample_PRO1322_PlateA_B4_R2	2.1415681069718926	2340287280	5392120	2290168434	18585604	10897401
Sample_PRO1322_PlateA_B5_R1	1.5513270041070062	2023477121	4513446	1992086374	16066297	6407643
Sample_PRO1322_PlateA_B5_R2	1.6270223497130414	2023477121	4584979	1990554696	16066297	7738150
Sample_PRO1322_PlateA_B6_R1	1.81276248722868	170243759	347909	167157644	1351673	989223
Sample_PRO1322_PlateA_B6_R2	1.8429633006399957	170243759	361177	167106229	1351673	988442
Sample_PRO1322_PlateA_B7_R1	2.4634724248773834	546064444	1194112	532612297	4336507	2612889
Sample_PRO1322_PlateA_B7_R2	2.4898103418723965	546064444	1235968	532468475	4336507	2697778
Sample_PRO1322_PlateA_B8_R1	2.7997453854313408	480652779	1147447	467195725	3816532	3020046
Sample_PRO1322_PlateA_B8_R2	2.772976997601006	480652779	1195114	467324388	3816532	3011466
Sample_PRO1322_PlateA_C10_R1	1.8225353855457844	1826721789	4036466	1793429138	14507908	4629469
Sample_PRO1322_PlateA_C10_R2	2.095291862750097	1826721789	4072420	1788446636	14507908	9795776
Sample_PRO1322_PlateA_C11_R1	1.4409945902254186	57879676	109868	57045633	459672	210204
Sample_PRO1322_PlateA_C11_R2	1.5547547294494184	57879676	113242	56979789	459672	271546
Sample_PRO1322_PlateA_C1_R1	1.824363940568526	1100410261	2351707	1080334773	8738566	3294250
Sample_PRO1322_PlateA_C1_R2	1.977912763210775	1100410261	2391184	1078645106	8738566	5163026
Sample_PRO1322_PlateA_C3_R1	2.9758398023165693	857254244	2026574	831743731	6807974	3025893
Sample_PRO1322_PlateA_C3_R2	3.0540909168132386	857254244	2059981	831072920	6807974	3592067
Sample_PRO1322_PlateA_C5_R1	1.4891401261699773	2297406295	4852451	2263194696	18243593	5947054
Sample_PRO1322_PlateA_C5_R2	1.8155010757468129	2297406295	4926231	2255696859	18243593	13694080
Sample_PRO1322_PlateA_C6_R1	2.080133537085042	1173305827	2469236	1148899499	9317125	5859474
Sample_PRO1322_PlateA_C6_R2	2.313363095570819	1173305827	2535802	1146163003	9317125	8416708
Sample_PRO1322_PlateA_C7_R1	1.9653656639681347	951259928	2056017	932564192	7554925	2749484
Sample_PRO1322_PlateA_C7_R2	2.161410083070376	951259928	2083566	930699300	7554925	4729495
Sample_PRO1322_PlateA_C8_R1	1.1211226889402974	1969722156	3981194	1947639154	15642075	7002077
Sample_PRO1322_PlateA_C8_R2	1.2111459947450578	1969722156	4104103	1945865945	15642075	8749564
Sample_PRO1322_PlateA_C9_R1	1.6147491235793474	2060743029	4163365	2027467199	16365761	9350783
Sample_PRO1322_PlateA_C9_R2	1.6723088961132184	2060743029	4315412	2026281040	16365761	10327077
Sample_PRO1322_PlateA_D10_R1	1.4606670915063784	2184649821	4637805	2152739360	17348124	8535583
Sample_PRO1322_PlateA_D10_R2	1.7074325890327666	2184649821	4755869	2147348398	17348124	14119571
Sample_PRO1322_PlateA_D11_R1	0.5333333333333333	375	2	373	3	0
Sample_PRO1322_PlateA_D11_R2	0.5333333333333333	375	0	373	3	2
Sample_PRO1322_PlateA_D12_R1	0.8	250	2	248	2	0
Sample_PRO1322_PlateA_D12_R2	0.4	250	1	249	2	0
Sample_PRO1322_PlateA_D1_R1	1.6165600214078633	351048580	707206	345373669	2787542	1586871
Sample_PRO1322_PlateA_D1_R2	1.677101499741147	351048580	731436	345161139	2787542	1797996
Sample_PRO1322_PlateA_D2_R1	1.5840247425161527	1807401629	3529384	1778771940	14352846	9200345
Sample_PRO1322_PlateA_D2_R2	1.5856325755253593	1807401629	3671733	1778742880	14352846	9159634
Sample_PRO1322_PlateA_D3_R1	2.264389685514438	784496905	1762987	766732838	6230436	2540839
Sample_PRO1322_PlateA_D3_R2	2.4216670427781994	784496905	1804079	765499002	6230436	3833665
Sample_PRO1322_PlateA_D4_R1	3.2028651867878177	1664293309	3899727	1610988238	13217055	5495531
Sample_PRO1322_PlateA_D4_R2	3.3781050909698753	1664293309	3955135	1608071732	13217055	8464995
Sample_PRO1322_PlateA_D5_R1	2.0940156031114987	1724931082	3727023	1688810756	13695935	7832612
Sample_PRO1322_PlateA_D5_R2	2.1352855418023013	1724931082	3796631	1688098878	13695935	8363192
Sample_PRO1322_PlateA_D6_R1	2.2312823668899067	1740758076	3538954	1701916848	13822803	12138834
Sample_PRO1322_PlateA_D6_R2	2.179094241927274	1740758076	3774152	1702825317	13822803	10502609
Sample_PRO1322_PlateA_D7_R1	1.6503512955216275	2079031058	4455371	2044719742	16510690	8992259
Sample_PRO1322_PlateA_D7_R2	1.6980357683526248	2079031058	4579309	2043728367	16510690	10147633
Sample_PRO1322_PlateA_D8_R1	1.487778410564638	13574871	26824	13372907	107807	58324
Sample_PRO1322_PlateA_D8_R2	1.558762510524041	13574871	27613	13363271	107807	66258
Sample_PRO1322_PlateA_D9_R1	1.7857268562004338	3109181945	6203886	3053660448	24692801	10755030
Sample_PRO1322_PlateA_D9_R2	1.9768783264306522	3109181945	6347780	3047717201	24692801	17520035
Sample_PRO1322_PlateA_E10_R1	1.3846076523748174	20772166	39056	20484553	164947	96205
Sample_PRO1322_PlateA_E10_R2	1.4341836089698108	20772166	40945	20474255	164947	102715
Sample_PRO1322_PlateA_E11_R1	1.7215793505000168	2218229557	4602549	2180040975	17615705	10926347
Sample_PRO1322_PlateA_E11_R2	1.755521148706793	2218229557	4784215	2179288068	17615705	11182216
Sample_PRO1322_PlateA_E1_R1	1.348178509474247	2180136072	4412304	2150743946	17312825	7230157
Sample_PRO1322_PlateA_E1_R2	1.549908670104331	2180136072	4488861	2146345954	17312825	11847554
Sample_PRO1322_PlateA_E2_R1	2.1490187755225336	1777030170	3852838	1738841458	14112491	7676199
Sample_PRO1322_PlateA_E2_R2	2.3823750274313014	1777030170	3936479	1734694647	14112491	12088868
Sample_PRO1322_PlateA_E3_R1	1.6471567062116808	2361561766	4648411	2322663143	18755046	9227926
Sample_PRO1322_PlateA_E3_R2	1.6975002126622336	2361561766	4786709	2321474250	18755046	10238496
Sample_PRO1322_PlateA_E4_R1	3.9743023067275436	891002930	2319156	855591780	7075159	4531555
Sample_PRO1322_PlateA_E4_R2	4.086197449429263	891002930	2370720	854594791	7075159	5155510
Sample_PRO1322_PlateA_E5_R1	3.6026339925383817	809528641	2008764	780364287	6427758	5122517
Sample_PRO1322_PlateA_E5_R2	3.7405216401725805	809528641	2071482	779248047	6427758	6129438
Sample_PRO1322_PlateA_E6_R1	1.2730494784672612	2615321051	5071459	2582026720	20770127	6524857
Sample_PRO1322_PlateA_E6_R2	1.5894020729923761	2615321051	5122687	2573753084	20770127	15048625
Sample_PRO1322_PlateA_E7_R1	2.1627999706357324	7069817	15479	6916911	56143	30923
Sample_PRO1322_PlateA_E7_R2	2.1910892460158444	7069817	15903	6914911	56143	32305
Sample_PRO1322_PlateA_E8_R1	1.5025439943731762	1605441444	3147897	1581318980	12750078	6249086
Sample_PRO1322_PlateA_E8_R2	1.625460280568165	1605441444	3271354	1579345631	12750078	8122800
Sample_PRO1322_PlateA_E9_R1	1.320072366130012	2325405545	4915030	2294708509	18467191	8891655
Sample_PRO1322_PlateA_E9_R2	1.3979784330479008	2325405545	5061723	2292896877	18467191	10808704
Sample_PRO1322_PlateA_F10_R1	1.4789022554571363	1397634896	2799318	1376965242	11098236	7460849
Sample_PRO1322_PlateA_F10_R2	1.4450172972784732	1397634896	2950620	1377438830	11098236	6794143
Sample_PRO1322_PlateA_F11_R1	1.5873015873015872	126	1	124	1	1
Sample_PRO1322_PlateA_F11_R2	0.7936507936507936	126	1	125	1	0
Sample_PRO1322_PlateA_F2_R1	2.1713973407568976	933986591	2025634	913706031	7416602	4856155
Sample_PRO1322_PlateA_F2_R2	2.1752119565493846	933986591	2087593	913670403	7416602	4620350
Sample_PRO1322_PlateA_F3_R1	1.5244918588866765	1873205346	3463521	1844648483	14876295	8716165
Sample_PRO1322_PlateA_F3_R2	1.6296720519822818	1873205346	3595924	1842678242	14876295	10814435
Sample_PRO1322_PlateA_F4_R1	2.788459833170402	1046234615	2532320	1017060783	8307197	3351322
Sample_PRO1322_PlateA_F4_R2	2.8790227897401386	1046234615	2562880	1016113282	8307197	4137474
Sample_PRO1322_PlateA_F5_R1	2.116548318808663	1842679879	4151546	1803678669	14634394	4797495
Sample_PRO1322_PlateA_F5_R2	2.3097105734446455	1842679879	4187757	1800119307	14634394	8548309
Sample_PRO1322_PlateA_F6_R1	2.738149888856609	1234072033	2670481	1200281291	9799892	5926770
Sample_PRO1322_PlateA_F6_R2	2.9782120506088807	1234072033	2732700	1197318751	9799892	8963647
Sample_PRO1322_PlateA_F7_R1	2.0656439498672796	809667610	1733597	792942760	6429994	3543455
Sample_PRO1322_PlateA_F7_R2	2.0745476035530186	809667610	1793217	792870670	6429994	3518283
Sample_PRO1322_PlateA_F8_R1	1.1955689312513493	1506922230	2841562	1488905936	11966460	6213539
Sample_PRO1322_PlateA_F8_R2	1.3845242697096585	1506922230	2954832	1486058526	11966460	9026959
Sample_PRO1322_PlateA_F9_R1	1.6863025711693629	1897826674	3706916	1865823574	15071583	8917525
Sample_PRO1322_PlateA_F9_R2	1.8321708444909337	1897826674	3860814	1863055247	15071583	11498038
Sample_PRO1322_PlateA_G11_R1	1.6971655506577965	4966315217	11043720	4882028626	39439958	16817362
Sample_PRO1322_PlateA_G11_R2	1.7185080340420928	4966315217	11342203	4880968691	39439958	16687189
Sample_PRO1322_PlateA_G1_R1	1.19721614843908	1729120930	3357693	1708419615	13731270	5960419
Sample_PRO1322_PlateA_G1_R2	1.4045893828837062	1729120930	3437285	1704833881	13731270	9569070
Sample_PRO1322_PlateA_G2_R1	1.632590502270668	1966054069	4252379	1933956457	15614343	4367068
Sample_PRO1322_PlateA_G2_R2	1.890407165602728	1966054069	4278147	1928887642	15614343	9821830
Sample_PRO1322_PlateA_G3_R1	1.5419597871773583	1471506403	2964590	1448816366	11685842	6050807
Sample_PRO1322_PlateA_G3_R2	1.5973882242087667	1471506403	3078648	1448000733	11685842	6816368
Sample_PRO1322_PlateA_G4_R1	2.0255182744666795	1439772742	3118033	1410609882	11429874	5780713
Sample_PRO1322_PlateA_G4_R2	2.2406001349343505	1439772742	3170174	1407513192	11429874	9119911
Sample_PRO1322_PlateA_G6_R1	1.6422980565488403	2027223674	4248576	1993930619	16099369	5706553
Sample_PRO1322_PlateA_G6_R2	1.8419920544002093	2027223674	4304155	1989882375	16099369	9857404
Sample_PRO1322_PlateA_G7_R1	1.5233928924611448	23915170	50241	23550848	189914	121217
Sample_PRO1322_PlateA_G7_R2	1.5054921206915945	23915170	52373	23555129	189914	114983
Sample_PRO1322_PlateA_G8_R1	1.6185687618694822	439156690	864089	432048637	3487777	1297198
Sample_PRO1322_PlateA_G8_R2	1.7912939001339137	439156690	882322	431290103	3487777	2081343
Sample_PRO1322_PlateA_G9_R1	1.3565575550760611	2241948223	4627015	2211534905	17805978	6194814
Sample_PRO1322_PlateA_G9_R2	1.5843067487290494	2241948223	4701009	2206428886	17805978	11461821
Sample_PRO1322_PlateA_H10_R1	2.44875392798439	1719380560	3811585	1677277161	13655136	5505531
Sample_PRO1322_PlateA_H10_R2	2.731425903756874	1719380560	3880740	1672416954	13655136	10709939
Sample_PRO1322_PlateA_H1_R1	2.389121688542524	2082270662	4586064	2032522682	16536091	6363749
Sample_PRO1322_PlateA_H1_R2	2.593033028095365	2082270662	4636221	2028276696	16536091	11064110
Sample_PRO1322_PlateA_H2_R1	1.8401930013152106	1976403941	4328937	1940034294	15695281	4235049
Sample_PRO1322_PlateA_H2_R2	2.056555806068391	1976403941	4448597	1935758091	15695281	8434001
Sample_PRO1322_PlateA_H3_R1	1.5635255034929205	2047311408	4023970	2015301172	16258907	10753807
Sample_PRO1322_PlateA_H3_R2	1.7251382892699632	2047311408	4153106	2011992455	16258907	13989333
Sample_PRO1322_PlateA_H4_R1	1.4762010724779153	1172423210	2302381	1155115886	9308198	5617859
Sample_PRO1322_PlateA_H4_R2	1.5339449822048474	1172423210	2368494	1154438883	9308198	6202478
Sample_PRO1322_PlateA_H5_R1	2.7894120345134326	1700418992	4122007	1652987300	13501337	6968661
Sample_PRO1322_PlateA_H5_R2	2.9983877056108534	1700418992	4187320	1649433838	13501337	10494695
Sample_PRO1322_PlateA_H6_R1	1.6911703761060215	14815716	28909	14565157	117646	67487
Sample_PRO1322_PlateA_H6_R2	1.7440871571782288	14815716	29436	14557317	117646	75245
Sample_PRO1322_PlateA_H7_R1	1.5096408781354844	20241569	43056	19935994	160742	82110
Sample_PRO1322_PlateA_H7_R2	1.6518926966580507	20241569	44726	19907200	160742	111355
Sample_PRO1322_PlateA_H8_R1	1.1930003071456758	1476325521	2827376	1458712953	11724222	6647841
Sample_PRO1322_PlateA_H8_R2	1.3107380943257432	1476325521	2961092	1456974760	11724222	8203388
Sample_PRO1322_PlateA_H9_R1	2.2590232142574598	1332652662	2978557	1302547729	10583820	3630152
Sample_PRO1322_PlateA_H9_R2	2.5132061755488393	1332652662	3018107	1299160353	10583820	7216533
Sample_PRO1322_PlateB_A10_R1	1.3036792874026635	1373828991	2908523	1355918667	10910241	4918647
Sample_PRO1322_PlateB_A10_R2	1.4948745538592292	1373828991	3004421	1353291971	10910241	7574089
Sample_PRO1322_PlateB_A11_R1	1.6946564885496185	13100	28	12878	104	11
Sample_PRO1322_PlateB_A11_R2	1.801526717557252	13100	28	12864	104	20
Sample_PRO1322_PlateB_A12_R1	2.143460142487239	1934257287	4150733	1892797253	15361119	8478165
Sample_PRO1322_PlateB_A12_R2	2.2404152379962055	1934257287	4280615	1890921892	15361119	9907213
Sample_PRO1322_PlateB_A1_R1	1.5873015873015872	126	0	124	1	2
Sample_PRO1322_PlateB_A1_R2	0.7936507936507936	126	1	125	1	0
Sample_PRO1322_PlateB_A2_R1	1.4002474521553456	2326217766	4952801	2293644961	18474478	5118387
Sample_PRO1322_PlateB_A2_R2	1.6524384157764187	2326217766	5015912	2287778450	18474478	11111845
Sample_PRO1322_PlateB_A3_R1	0.9550296945743284	1011801	1878	1002138	8036	2357
Sample_PRO1322_PlateB_A3_R2	1.2320604545755538	1011801	1933	999335	8036	5193
Sample_PRO1322_PlateB_A4_R1	1.4458797612061112	1055647116	2169819	1040383728	8382180	3756542
Sample_PRO1322_PlateB_A4_R2	1.5544211461664241	1055647116	2229476	1039237914	8382180	4805497
Sample_PRO1322_PlateB_A5_R1	2.8642435587836057	2543813	5654	2470952	20199	10790
Sample_PRO1322_PlateB_A5_R2	3.0122497211862664	2543813	5809	2467187	20199	14663
Sample_PRO1322_PlateB_A6_R1	1.2768688747951398	2189600949	4203266	2161642616	17388939	6341185
Sample_PRO1322_PlateB_A6_R2	1.424438869294626	2189600949	4379394	2158411422	17388939	9437059
Sample_PRO1322_PlateB_A8_R1	7.18694885361552	2268	6	2105	18	41
Sample_PRO1322_PlateB_A8_R2	5.731922398589065	2268	5	2138	18	3
Sample_PRO1322_PlateB_A9_R1	0.9688959067989994	2138067346	4058856	2117351699	16979475	8854105
Sample_PRO1322_PlateB_A9_R2	1.1166397094397231	2138067346	4216747	2114192837	16979475	11894347
Sample_PRO1322_PlateB_B10_R1	1.9353083827569235	2214783462	5163901	2171920572	17589917	4795848
Sample_PRO1322_PlateB_B10_R2	2.180299195317	2214783462	5232427	2166494556	17589917	10628201
Sample_PRO1322_PlateB_B11_R1	1.7102457703716667	1426518248	3075350	1402121280	11327338	6070877
