Sample	sequence_duplication_levels	adapter_content	Sequence length	Sequences flagged as poor quality	avg_sequence_length	kmer_content	Filename	Total Sequences	per_sequence_quality_scores	per_tile_sequence_quality	per_base_sequence_content	sequence_length_distribution	total_deduplicated_percentage	per_base_sequence_quality	%GC	per_base_n_content	per_sequence_gc_content	basic_statistics	overrepresented_sequences	File type	Encoding
Sample_PRO1322_PlateA_A10_R1_val_1	fail	pass	100-126	0.0	125.10865109513324	fail	Sample_PRO1322_PlateA_A10_R1_val_1.fq.gz	8131248.0	pass	pass	fail	warn	28.73267790859576	pass	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A10_R2_val_2	fail	pass	100-126	0.0	125.14701826829042	fail	Sample_PRO1322_PlateA_A10_R2_val_2.fq.gz	8131248.0	pass	pass	fail	warn	28.427690028223335	pass	34.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A11_R1_val_1	fail	pass	100-126	0.0	124.93886027191463	fail	Sample_PRO1322_PlateA_A11_R1_val_1.fq.gz	10751389.0	pass	pass	fail	warn	19.008421463801	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A11_R2_val_2	fail	pass	100-126	0.0	125.01229441144767	fail	Sample_PRO1322_PlateA_A11_R2_val_2.fq.gz	10751389.0	pass	pass	fail	warn	18.50484724634178	pass	33.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A12_R1_val_1	pass	pass	100-126	0.0	125.1103048990349	warn	Sample_PRO1322_PlateA_A12_R1_val_1.fq.gz	212103.0	pass	pass	fail	warn	85.76055057168104	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A12_R2_val_2	pass	pass	100-126	0.0	125.05082907832515	warn	Sample_PRO1322_PlateA_A12_R2_val_2.fq.gz	212103.0	pass	pass	fail	warn	86.10367392494153	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A1_R1_val_1	fail	pass	100-126	0.0	124.96210538235579	fail	Sample_PRO1322_PlateA_A1_R1_val_1.fq.gz	10420530.0	pass	pass	fail	warn	25.30722829316859	pass	31.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A1_R2_val_2	fail	pass	100-126	0.0	125.04087508025023	fail	Sample_PRO1322_PlateA_A1_R2_val_2.fq.gz	10420530.0	pass	pass	fail	warn	23.86406199467682	pass	31.0	pass	pass	pass	pass	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A2_R1_val_1	fail	pass	100-126	0.0	125.07403016644942	fail	Sample_PRO1322_PlateA_A2_R1_val_1.fq.gz	17091438.0	pass	pass	fail	warn	29.410818058271193	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
Sample_PRO1322_PlateA_A2_R2_val_2	fail	pass	100-126	0.0	125.04694672268067	fail	Sample_PRO1322_PlateA_A2_R2_val_2.fq.gz	17091438.0	pass	pass	fail	warn	29.861524796371018	pass	35.0	pass	pass	pass	warn	Conventional base calls	Sanger / Illumina 1.9
