Sample	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_fails
Sample_PRO1322_PlateA_A10_R1	1.7879373432683892	69.69537505946664	125.91802889924732	35.0	8416759.0	25.0
Sample_PRO1322_PlateA_A10_R2	1.9544452563451609	69.85393228556941	125.91802889924732	35.0	8416759.0	25.0
Sample_PRO1322_PlateA_A11_R1	2.439513954562773	78.2532134639075	125.92560022650056	34.0	11302400.0	25.0
Sample_PRO1322_PlateA_A11_R2	2.6242204187376097	78.54635885976552	125.92560022650056	34.0	11302400.0	25.0
Sample_PRO1322_PlateA_A12_R1	1.8791628675662315	14.0102980425754	125.91162102952316	35.0	220471.0	8.333333333333332
Sample_PRO1322_PlateA_A12_R2	2.1539156842319924	13.601590916844259	125.91162102952316	35.0	220471.0	8.333333333333332
Sample_PRO1322_PlateA_A1_R1	2.240283103893044	72.41108602027974	125.93409389800209	32.0	10909263.0	25.0
Sample_PRO1322_PlateA_A1_R2	2.407422900116419	73.59576317209306	125.93409389800209	32.0	10909263.0	25.0
Sample_PRO1322_PlateA_A2_R1	1.899924258547948	68.98924933869739	125.91924376842739	35.0	17755831.0	25.0
Sample_PRO1322_PlateA_A2_R2	2.15564565239097	68.32395529544951	125.91924376842739	35.0	17755831.0	25.0
Sample_PRO1322_PlateA_A3_R1	2.560058832641571	76.67929644828918	125.91559271453968	35.0	13649817.0	25.0
Sample_PRO1322_PlateA_A3_R2	2.7417246818591607	76.04684771437374	125.91559271453968	35.0	13649817.0	25.0
Sample_PRO1322_PlateA_A4_R1	1.546758779507418	89.11524011192829	125.91917420070921	38.0	18545378.0	41.66666666666667
Sample_PRO1322_PlateA_A4_R2	1.6548830429171417	89.62321362531938	125.91917420070921	38.0	18545378.0	33.33333333333333
