Sample	r_processed	percent_trimmed	bp_processed	bp_written	r_with_adapters	quality_trimmed
Sample_IPO3916_A10_R1	9593734	2.9504791257253853	1208810484	1173144783	2618666	12518639
Sample_IPO3916_A10_R2	9593734	4.298914981945177	1208810484	1156844749	2673042	29620057
Sample_IPO3916_A11_R1	3971662	5.86944957583748	500429412	471056960	1296010	6764974
Sample_IPO3916_A11_R2	3971662	6.48956900239109	500429412	467953700	1318892	10442061
Sample_IPO3916_A12_R1	6297799	3.964294535079662	793522674	762065098	1821613	11685763
Sample_IPO3916_A12_R2	6297799	4.601758613390296	793522674	757006676	1873367	17186071
Sample_IPO3916_A1_R1	14477608	10.674972842352288	1824178608	1629448037	6248268	26798582
Sample_IPO3916_A1_R2	14477608	11.115225236760368	1824178608	1621417047	6313141	40016741
Sample_IPO3916_A2_R1	7231951	6.660953220173546	911225826	850529500	2513726	15408434
Sample_IPO3916_A2_R2	7231951	7.043570119357	911225826	847042996	2544210	20056864
Sample_IPO3916_A3_R1	3682127	8.461291315141821	463948002	424692010	1433963	6896312
Sample_IPO3916_A3_R2	3682127	8.832824114629984	463948002	422968291	1452467	9505369
Sample_IPO3916_A4_R1	3916264	3.4577423141115475	493449264	476387060	1155820	4697082
Sample_IPO3916_A4_R2	3916264	4.365867288029839	493449264	471905924	1202126	9503534
Sample_IPO3916_A5_R1	8165695	4.557818866631528	1028877570	981983194	2372885	13662912
Sample_IPO3916_A5_R2	8165695	5.4270441525904785	1028877570	973039930	2429237	23883696
Sample_IPO3916_A6_R1	7400726	7.635301644301571	932491476	861292939	2812091	13085789
Sample_IPO3916_A6_R2	7400726	8.440809168318875	932491476	853781650	2867535	22827370
Sample_IPO3916_A7_R1	8561045	6.802182035947306	1078691670	1005317099	2967891	15271283
Sample_IPO3916_A7_R2	8561045	7.384764916187773	1078691670	999032826	3025694	23134258
Sample_IPO3916_A8_R1	8915546	5.238552206965583	1123358796	1064511059	2998201	11998787
Sample_IPO3916_A8_R2	8915546	6.15907600014911	1123358796	1054170274	3054197	23963612
Sample_IPO3916_A9_R1	11442652	5.186559066568701	1441774152	1366995684	3846493	16786921
Sample_IPO3916_A9_R2	11442652	5.835454039961177	1441774152	1357640084	3929361	27674406
Sample_IPO3916_B10_R1	11946596	6.250303566580939	1505271096	1411187083	4245481	17936064
Sample_IPO3916_B10_R2	11946596	6.921346080241217	1505271096	1401086074	4307295	30351282
Sample_IPO3916_B11_R1	8042523	4.922215152064665	1013357898	963478242	2460060	14119738
Sample_IPO3916_B11_R2	8042523	5.537344418072518	1013357898	957244781	2506419	21249524
Sample_IPO3916_B12_R1	13154160	5.0489918645810015	1657424160	1573740949	4351319	17366946
Sample_IPO3916_B12_R2	13154160	5.625723773689892	1657424160	1564182055	4440802	28618946
Sample_IPO3916_B1_R1	15607177	5.669477452279685	1966504302	1855013784	5379165	17338822
Sample_IPO3916_B1_R2	15607177	6.595584249070206	1966504302	1836801854	5463504	38721306
Sample_IPO3916_B2_R1	7673805	4.955377520493522	966899430	918985913	2421905	11976920
Sample_IPO3916_B2_R2	7673805	6.183580333685789	966899430	907110427	2466356	25681077
Sample_IPO3916_B3_R1	9458178	11.065185876079687	1191730428	1059863241	4236537	18121273
Sample_IPO3916_B3_R2	9458178	11.538631369073341	1191730428	1054221047	4279012	27101607
Sample_IPO3916_B4_R1	4279067	6.742677933044898	539162442	502808455	1576435	6166249
Sample_IPO3916_B4_R2	4279067	7.686762053800476	539162442	497718308	1600670	12516379
Sample_IPO3916_B5_R1	3944306	5.24065234997906	496982556	470937428	1342759	5214879
Sample_IPO3916_B5_R2	3944306	6.135826425263908	496982556	466488569	1366855	10418413
Sample_IPO3916_B6_R1	3731361	7.248196807783779	470151486	436073981	1347371	7268167
Sample_IPO3916_B6_R2	3731361	7.734584295241385	470151486	433787223	1361877	10334255
Sample_IPO3916_B7_R1	6367838	6.680075792787203	802347588	748750161	2185559	12511901
Sample_IPO3916_B7_R2	6367838	6.9938000486641965	802347588	746233002	2220859	15883451
Sample_IPO3916_B8_R1	4622416	3.614441019588025	582424416	561373029	1365378	7286700
Sample_IPO3916_B8_R2	4622416	3.9307819815026437	582424416	559530582	1403516	9332966
Sample_IPO3916_B9_R1	9042251	1.8887530732203037	1139323626	1117804616	2498128	9036582
Sample_IPO3916_B9_R2	9042251	2.6798412060665897	1139323626	1108791562	2572658	18228005
Sample_IPO3916_C10_R1	8032363	6.018512483079634	1012077738	951165713	2819002	12393562
Sample_IPO3916_C10_R2	8032363	6.848163969791815	1012077738	942768995	2870377	22277600
Sample_IPO3916_C11_R1	13980064	5.728663228682542	1761488064	1660578345	4604152	22007271
Sample_IPO3916_C11_R2	13980064	6.372090069410769	1761488064	1649244458	4675367	35733691
Sample_IPO3916_C12_R1	7580630	5.759277158540808	955159380	900149104	2507290	11388264
Sample_IPO3916_C12_R2	7580630	6.6517561707869115	955159380	891624507	2567029	21273661
Sample_IPO3916_C1_R1	5470060	10.904008684736867	689227560	614074127	2441976	10102891
Sample_IPO3916_C1_R2	5470060	11.162310166470998	689227560	612293842	2458401	13338802
Sample_IPO3916_C2_R1	13460728	8.755464797946305	1696051728	1547554516	5545475	21385836
Sample_IPO3916_C2_R2	13460728	9.678797603276873	1696051728	1531894314	5617221	42080314
Sample_IPO3916_C3_R1	7027775	10.578820443350825	885499650	791824232	3092290	11761572
Sample_IPO3916_C3_R2	7027775	11.117598408988643	885499650	787053355	3117520	19169133
Sample_IPO3916_C4_R1	4774433	2.7967511102681293	601578558	584753903	1376922	4029174
Sample_IPO3916_C4_R2	4774433	4.619166296814721	601578558	573790644	1405954	15588279
Sample_IPO3916_C5_R1	5099526	4.378764110345045	642540276	614404953	1655374	7672252
Sample_IPO3916_C5_R2	5099526	5.522667344824934	642540276	607054914	1692296	15725077
Sample_IPO3916_C6_R1	8740289	5.999669579775455	1101276414	1035203468	2825122	18541049
Sample_IPO3916_C6_R2	8740289	6.515955312196489	1101276414	1029517735	2885215	25545777
Sample_IPO3916_C7_R1	5466099	7.802349841571964	688728474	634991469	2029092	10495274
Sample_IPO3916_C7_R2	5466099	8.203422703269853	688728474	632229166	2061464	14314026
Sample_IPO3916_C8_R1	4530705	6.2024397093111565	570868830	535461035	1586856	6649888
Sample_IPO3916_C8_R2	4530705	7.156478485609383	570868830	530014725	1614067	13097316
Sample_IPO3916_C9_R1	5875332	5.438485102723651	740291832	700031171	1882036	10467598
Sample_IPO3916_C9_R2	5875332	5.973391450305776	740291832	696071303	1915284	15198324
Sample_IPO3916_D10_R1	8056010	4.7589595093384185	1015057260	966751096	2568694	13877853
Sample_IPO3916_D10_R2	8056010	5.345681681051175	1015057260	960795530	2618672	20635786
Sample_IPO3916_D11_R1	3366816	7.39980590582762	424218816	392827447	1224271	5722183
Sample_IPO3916_D11_R2	3366816	8.567531808867242	424218816	387873734	1236158	11674559
Sample_IPO3916_D12_R1	11048473	5.425860623741815	1392107598	1316573780	3722912	15034521
Sample_IPO3916_D12_R2	11048473	6.210742770473694	1392107598	1305647376	3770035	27654277
Sample_IPO3916_D1_R1	14953665	11.639078563417847	1884161790	1664862719	6992517	26514966
Sample_IPO3916_D1_R2	14953665	12.14709549969167	1884161790	1655290858	7045282	42264507
Sample_IPO3916_D2_R1	26694933	12.49600355909407	3363561558	2943250786	13482929	47181148
Sample_IPO3916_D2_R2	26694933	13.280604273097119	3363561558	2916860258	13511406	87530624
Sample_IPO3916_D3_R1	3794204	9.711377987675203	478069704	431642548	1612920	6601316
Sample_IPO3916_D3_R2	3794204	10.532336096327912	478069704	427717796	1626044	12068367
Sample_IPO3916_D4_R1	8942844	9.350794448806893	1126798344	1021433747	3563140	17225746
Sample_IPO3916_D4_R2	8942844	9.899539042986028	1126798344	1015250502	3598246	26352386
Sample_IPO3916_D5_R1	5704043	6.977421854238175	718709418	668562030	2029879	9718810
Sample_IPO3916_D5_R2	5704043	7.858948774760595	718709418	662226413	2053538	17560179
Sample_IPO3916_D6_R1	9865895	5.339899773531998	1243102770	1176722328	3121936	18520944
Sample_IPO3916_D6_R2	9865895	6.3137976918835115	1243102770	1164615776	3180763	32414349
Sample_IPO3916_D7_R1	4946511	4.8047953427927315	623260386	593314000	1565757	8076280
Sample_IPO3916_D7_R2	4946511	5.4425897685722635	623260386	589338880	1604097	12628748
Sample_IPO3916_D8_R1	5556364	4.934958007767853	700101864	665552131	1722224	9689044
Sample_IPO3916_D8_R2	5556364	5.328404896233786	700101864	662797602	1767613	13013966
Sample_IPO3916_D9_R1	4691240	4.914957503366964	591096240	562044111	1381214	8718304
Sample_IPO3916_D9_R2	4691240	5.390459935931922	591096240	559233434	1407164	11979367
Sample_IPO3916_E10_R1	8300195	4.539998520019471	1045824570	998344150	2528916	12791655
Sample_IPO3916_E10_R2	8300195	5.171344750487168	1045824570	991741376	2580043	20364721
Sample_IPO3916_E11_R1	11543215	6.8767391555496955	1454445090	1354426695	4234886	18003619
Sample_IPO3916_E11_R2	11543215	7.854975741985556	1454445090	1340198781	4286949	34974139
Sample_IPO3916_E12_R1	6937522	6.146875058901572	874127772	820396230	2367377	12391398
Sample_IPO3916_E12_R2	6937522	6.716965857938673	874127772	815412908	2405297	18395754
Sample_IPO3916_E1_R1	10043760	8.655728168455473	1265513760	1155974329	4088778	16010897
Sample_IPO3916_E1_R2	10043760	9.493860659405236	1265513760	1145367647	4113389	30042871
Sample_IPO3916_E2_R1	3761327	13.785506449996934	473927202	408593937	1838089	12183042
Sample_IPO3916_E2_R2	3761327	14.66287221048772	473927202	404435862	1851873	18555369
Sample_IPO3916_E3_R1	6941557	9.421258998407179	874636182	792234442	2828403	12437221
Sample_IPO3916_E3_R2	6941557	9.896460354758112	874636182	788078159	2861775	18688076
Sample_IPO3916_E4_R1	4727518	12.203568821914855	595667268	522974603	2199502	8448186
Sample_IPO3916_E4_R2	4727518	13.05122594045238	595667268	517925387	2214360	16300871
Sample_IPO3916_E5_R1	4790452	7.554249710657916	603596952	557999731	1724065	10215930
Sample_IPO3916_E5_R2	4790452	8.441467080171737	603596952	552644514	1750696	17006765
Sample_IPO3916_E6_R1	2637023	4.470744002575921	332264898	317410185	785454	3976104
Sample_IPO3916_E6_R2	2637023	5.441077317773122	332264898	314186108	801211	7618883
Sample_IPO3916_E7_R1	5699549	5.335759829975074	718143174	679824779	1859602	9353439
Sample_IPO3916_E7_R2	5699549	5.902852597468259	718143174	675752241	1903813	14219772
Sample_IPO3916_E8_R1	3309640	5.654322351848367	417014640	393435288	1080070	5359983
Sample_IPO3916_E8_R2	3309640	6.3214140395646545	417014640	390653418	1103958	8666649
Sample_IPO3916_E9_R1	3862110	4.500769441229449	486625860	464723952	1219754	6105011
