Sample	basic_statistics	total_deduplicated_percentage	per_sequence_gc_content	adapter_content	per_tile_sequence_quality	sequence_duplication_levels	Sequences flagged as poor quality	Sequence length	Encoding	avg_sequence_length	overrepresented_sequences	sequence_length_distribution	per_base_sequence_quality	per_base_n_content	per_base_sequence_content	Total Sequences	%GC	File type	per_sequence_quality_scores	kmer_content	Filename
Sample_IPO3916_A10_R1_val_1	pass	30.712159480814606	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.93919005037716	pass	warn	pass	pass	fail	8873663.0	36.0	Conventional base calls	pass	fail	Sample_IPO3916_A10_R1_val_1.fq.gz
Sample_IPO3916_A10_R2_val_2	pass	31.144746890412478	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.64256282890166	pass	warn	pass	pass	fail	8873663.0	36.0	Conventional base calls	pass	fail	Sample_IPO3916_A10_R2_val_2.fq.gz
Sample_IPO3916_A11_R1_val_1	pass	43.48035349938822	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.4705621826508	pass	warn	pass	pass	fail	3470349.0	35.0	Conventional base calls	pass	fail	Sample_IPO3916_A11_R1_val_1.fq.gz
Sample_IPO3916_A11_R2_val_2	pass	43.67190119898687	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.43331232680056	pass	warn	pass	pass	fail	3470349.0	35.0	Conventional base calls	pass	fail	Sample_IPO3916_A11_R2_val_2.fq.gz
Sample_IPO3916_A12_R1_val_1	pass	38.69488359718339	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.66042686205547	warn	warn	pass	pass	fail	5735436.0	37.0	Conventional base calls	pass	fail	Sample_IPO3916_A12_R1_val_1.fq.gz
Sample_IPO3916_A12_R2_val_2	pass	38.559052647656216	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.61706259123108	warn	warn	pass	pass	fail	5735436.0	37.0	Conventional base calls	pass	fail	Sample_IPO3916_A12_R2_val_2.fq.gz
Sample_IPO3916_A1_R1_val_1	pass	36.957498812442616	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	123.55619707854473	pass	warn	pass	pass	fail	11233511.0	34.0	Conventional base calls	pass	fail	Sample_IPO3916_A1_R1_val_1.fq.gz
Sample_IPO3916_A1_R2_val_2	pass	37.009174532027544	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	123.53875498052211	pass	warn	pass	pass	fail	11233511.0	34.0	Conventional base calls	pass	fail	Sample_IPO3916_A1_R2_val_2.fq.gz
Sample_IPO3916_A2_R1_val_1	pass	40.93372373767578	fail	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.04910197397653	warn	warn	pass	pass	fail	6211624.0	36.0	Conventional base calls	pass	fail	Sample_IPO3916_A2_R1_val_1.fq.gz
Sample_IPO3916_A2_R2_val_2	pass	40.77123652389784	fail	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.17029266420505	warn	warn	pass	pass	fail	6211624.0	36.0	Conventional base calls	pass	fail	Sample_IPO3916_A2_R2_val_2.fq.gz
Sample_IPO3916_A3_R1_val_1	pass	41.73361363765991	warn	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	123.96374226957138	warn	warn	pass	pass	fail	3031850.0	37.0	Conventional base calls	pass	fail	Sample_IPO3916_A3_R1_val_1.fq.gz
Sample_IPO3916_A3_R2_val_2	pass	41.5192962841555	fail	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	123.98744100136881	warn	warn	pass	pass	fail	3031850.0	37.0	Conventional base calls	pass	fail	Sample_IPO3916_A3_R2_val_2.fq.gz
Sample_IPO3916_A4_R1_val_1	pass	15.787149878047924	fail	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.87158955390031	fail	warn	pass	pass	fail	3629144.0	39.0	Conventional base calls	pass	fail	Sample_IPO3916_A4_R1_val_1.fq.gz
Sample_IPO3916_A4_R2_val_2	pass	15.256979498293093	fail	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.70734393564985	fail	warn	pass	pass	fail	3629144.0	39.0	Conventional base calls	pass	fail	Sample_IPO3916_A4_R2_val_2.fq.gz
Sample_IPO3916_A5_R1_val_1	pass	38.92212256951222	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.60462578120446	pass	warn	pass	pass	fail	7308906.0	34.0	Conventional base calls	pass	fail	Sample_IPO3916_A5_R1_val_1.fq.gz
Sample_IPO3916_A5_R2_val_2	pass	39.12779437250721	pass	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.44049820862384	pass	warn	pass	pass	fail	7308906.0	34.0	Conventional base calls	pass	fail	Sample_IPO3916_A5_R2_val_2.fq.gz
Sample_IPO3916_A6_R1_val_1	pass	34.46446024631245	warn	pass	pass	fail	0.0	100-126	Sanger / Illumina 1.9	124.18888922401925	warn	warn	pass	pass	fail	6199909.0	39.0	Conventional base calls	pass	fail	Sample_IPO3916_A6_R1_val_1.fq.gz
