Sample	Sum of remaining over-represented sequences	Top over-represented sequence
Sample_PRO1747_PlateG_A10_R1	0.8297811057927948	0.613817586556689
Sample_PRO1747_PlateG_A10_R2	0.7970065890450624	0.6091584266368297
Sample_PRO1747_PlateG_A11_R1	0.740740038952501	0.6700715581887544
Sample_PRO1747_PlateG_A11_R2	0.7110342997502875	0.6722592235286681
Sample_PRO1747_PlateG_A12_R1	0.6044543026269598	0.6322472241026627
Sample_PRO1747_PlateG_A12_R2	0.5678348746513642	0.632948447191557
Sample_PRO1747_PlateG_A1_R1	0.4109157973348389	0.31882176920426836
Sample_PRO1747_PlateG_A1_R2	0.5121553036869829	0.3446473041636047
Sample_PRO1747_PlateG_A2_R1	0.5768615977035618	0.27245288150918107
Sample_PRO1747_PlateG_A2_R2	0.5582117878287547	0.28054203615043877
Sample_PRO1747_PlateG_A3_R1	0.0	0.0
Sample_PRO1747_PlateG_A3_R2	0.0	0.0
Sample_PRO1747_PlateG_A4_R1	0.0	0.0
Sample_PRO1747_PlateG_A4_R2	0.0	0.0
Sample_PRO1747_PlateG_A5_R1	0.790145522483004	0.6290707240963734
Sample_PRO1747_PlateG_A5_R2	0.9813881116158139	0.6313068031548763
Sample_PRO1747_PlateG_A6_R1	0.9253936532758638	0.6908409115869907
Sample_PRO1747_PlateG_A6_R2	0.8963765659542509	0.6918155188100423
Sample_PRO1747_PlateG_A7_R1	1.711870528206605	1.252632494488401
Sample_PRO1747_PlateG_A7_R2	2.0148228465784066	1.1929555481660974
Sample_PRO1747_PlateG_A8_R1	0.8043443522475143	0.4377738039656166
Sample_PRO1747_PlateG_A8_R2	0.6921581534499479	0.40895591905411943
Sample_PRO1747_PlateG_A9_R1	0.14590357499493614	0.1668292557527062
Sample_PRO1747_PlateG_A9_R2	0.14700055269947376	0.15528328839787625
Sample_PRO1747_PlateG_B10_R1	0.0	0.0
Sample_PRO1747_PlateG_B10_R2	0.0	0.0
Sample_PRO1747_PlateG_B11_R1	1.076842582580488	0.36742289786262267
Sample_PRO1747_PlateG_B11_R2	1.44650606414389	0.36304021765670236
Sample_PRO1747_PlateG_B12_R1	0.0	0.0
Sample_PRO1747_PlateG_B12_R2	0.0	0.0
Sample_PRO1747_PlateG_B1_R1	0.13891717348662302	0.1609503155766711
Sample_PRO1747_PlateG_B1_R2	0.137810693263198	0.1649790384414494
Sample_PRO1747_PlateG_B2_R1	0.0	0.0
Sample_PRO1747_PlateG_B2_R2	0.0	0.0
Sample_PRO1747_PlateG_B3_R1	1.3105784601416366	1.0413627364989992
Sample_PRO1747_PlateG_B3_R2	1.428008346772201	0.9763806556087166
Sample_PRO1747_PlateG_B4_R1	0.3365802070465856	0.34188775356686224
Sample_PRO1747_PlateG_B4_R2	0.32930243492408506	0.33838959790577083
Sample_PRO1747_PlateG_B5_R1	0.15091417819380748	0.2679860652999905
Sample_PRO1747_PlateG_B5_R2	0.14904417344399545	0.27251243577133044
Sample_PRO1747_PlateG_B6_R1	0.5425786279198088	0.3688636768481924
Sample_PRO1747_PlateG_B6_R2	0.529182518729209	0.372753203532104
Sample_PRO1747_PlateG_B7_R1	0.0	0.0
Sample_PRO1747_PlateG_B7_R2	0.0	0.0
Sample_PRO1747_PlateG_B8_R1	0.6530164715016384	0.4851421975630354
Sample_PRO1747_PlateG_B8_R2	0.6089314069433458	0.5183866724758461
Sample_PRO1747_PlateG_B9_R1	0.0	0.0
Sample_PRO1747_PlateG_B9_R2	0.0	0.0
Sample_PRO1747_PlateG_C10_R1	0.4336873276523752	0.4556643013427882
Sample_PRO1747_PlateG_C10_R2	0.5095696905758029	0.45236112099465814
Sample_PRO1747_PlateG_C11_R1	1.217555295699027	0.8399801619498111
Sample_PRO1747_PlateG_C11_R2	1.0770035001626193	0.8154498226759325
Sample_PRO1747_PlateG_C12_R1	3.255424331292751	0.44162201726746536
Sample_PRO1747_PlateG_C12_R2	3.387369659121615	0.5181976871233133
Sample_PRO1747_PlateG_C1_R1	1.8305344809683126	1.0943162094143426
Sample_PRO1747_PlateG_C1_R2	1.6867423394835865	1.1214213101388328
Sample_PRO1747_PlateG_C2_R1	0.10483922864068296	0.16848940758720032
Sample_PRO1747_PlateG_C2_R2	0.10571581081995293	0.18308192268916437
Sample_PRO1747_PlateG_C3_R1	0.3462503582165898	0.4277542618786675
Sample_PRO1747_PlateG_C3_R2	0.3511806510657136	0.41620915945696935
Sample_PRO1747_PlateG_C4_R1	1.403747794337868	0.7707105333536234
Sample_PRO1747_PlateG_C4_R2	1.4584191941501436	0.7671260626290892
Sample_PRO1747_PlateG_C5_R1	0.9798974063330372	0.6617704275548104
Sample_PRO1747_PlateG_C5_R2	0.9457198168443885	0.6498749212548609
Sample_PRO1747_PlateG_C6_R1	0.17608332937355042	0.1812497254301445
Sample_PRO1747_PlateG_C6_R2	0.17117469277314212	0.1862592244264516
Sample_PRO1747_PlateG_C7_R1	0.0	0.0
Sample_PRO1747_PlateG_C7_R2	0.0	0.0
Sample_PRO1747_PlateG_C8_R1	0.10465816171241936	0.10645978890934675
Sample_PRO1747_PlateG_C8_R2	0.10000850768398549	0.10690564614495
Sample_PRO1747_PlateG_C9_R1	0.455400798750253	0.25574248515140013
Sample_PRO1747_PlateG_C9_R2	0.7218904519267724	0.24061622222335505
Sample_PRO1747_PlateG_D10_R1	0.4201537293442189	0.5689571877647189
Sample_PRO1747_PlateG_D10_R2	0.40283887740358104	0.5610738747005052
Sample_PRO1747_PlateG_D11_R1	0.34357570028686574	0.34362133595058936
Sample_PRO1747_PlateG_D11_R2	0.3235340379682638	0.34003133040433503
Sample_PRO1747_PlateG_D12_R1	1.2737880606572354	1.0940583834777682
Sample_PRO1747_PlateG_D12_R2	1.3232345674840036	1.0835285871426241
Sample_PRO1747_PlateG_D1_R1	1.211781680225799	0.41476290513258324
Sample_PRO1747_PlateG_D1_R2	1.6144058189096522	0.4717880433050242
Sample_PRO1747_PlateG_D2_R1	0.3796658736153084	0.4801341685575569
Sample_PRO1747_PlateG_D2_R2	0.48380703081911725	0.50864638813027
Sample_PRO1747_PlateG_D3_R1	1.1880362956928425	0.8350630604833064
Sample_PRO1747_PlateG_D3_R2	1.1995703158652637	0.7951579281214038
Sample_PRO1747_PlateG_D4_R1	0.23492913052053843	0.12358205590138303
Sample_PRO1747_PlateG_D4_R2	0.34088613541302043	0.15245629372922626
Sample_PRO1747_PlateG_D5_R1	2.554191167522708	0.4775491302917318
Sample_PRO1747_PlateG_D5_R2	2.7947637700173105	0.476417565453594
Sample_PRO1747_PlateG_D6_R1	0.7853076539808368	0.5918869720224118
Sample_PRO1747_PlateG_D6_R2	0.7571896976020641	0.5906189594830978
Sample_PRO1747_PlateG_D7_R1	0.357492871292554	0.4028353236175888
Sample_PRO1747_PlateG_D7_R2	0.35932457597394885	0.38524785409199336
Sample_PRO1747_PlateG_D8_R1	0.22166681921118475	0.3293511662405993
Sample_PRO1747_PlateG_D8_R2	0.2257447419717028	0.3050376845373325
Sample_PRO1747_PlateG_D9_R1	0.0	0.0
Sample_PRO1747_PlateG_D9_R2	0.0	0.0
Sample_PRO1747_PlateG_E10_R1	0.0	0.0
Sample_PRO1747_PlateG_E10_R2	0.0	0.0
Sample_PRO1747_PlateG_E11_R1	0.3367933147172226	0.37667132547358007
Sample_PRO1747_PlateG_E11_R2	0.3332279987986892	0.3693495238821683
Sample_PRO1747_PlateG_E12_R1	0.0	0.0
Sample_PRO1747_PlateG_E12_R2	0.0	0.0
Sample_PRO1747_PlateG_E1_R1	0.0	0.0
Sample_PRO1747_PlateG_E1_R2	0.0	0.0
Sample_PRO1747_PlateG_E2_R1	0.15158205536538458	0.15727727632509483
Sample_PRO1747_PlateG_E2_R2	0.14533960676897614	0.158858156164445
Sample_PRO1747_PlateG_E3_R1	0.0	0.0
Sample_PRO1747_PlateG_E3_R2	0.0	0.0
Sample_PRO1747_PlateG_E4_R1	0.13476298524759786	0.15008427716549058
Sample_PRO1747_PlateG_E4_R2	0.13055792942246375	0.15255902293817714
Sample_PRO1747_PlateG_E5_R1	1.2988639515994702	0.957300021758071
Sample_PRO1747_PlateG_E5_R2	1.3860458027862297	0.9116820689249088
Sample_PRO1747_PlateG_E6_R1	0.14324281631891092	0.1572382034578392
Sample_PRO1747_PlateG_E6_R2	0.13477725736272012	0.15761457919802552
Sample_PRO1747_PlateG_E7_R1	1.3940331216584703	0.32908579769515883
Sample_PRO1747_PlateG_E7_R2	1.7408246929267124	0.31585271799948045
Sample_PRO1747_PlateG_E8_R1	0.25121916636360686	0.3539757915937892
Sample_PRO1747_PlateG_E8_R2	0.2562190820185252	0.3268789842602959
Sample_PRO1747_PlateG_E9_R1	0.3129773819614281	0.3653224278750993
Sample_PRO1747_PlateG_E9_R2	0.32109818798254286	0.34219710456076613
Sample_PRO1747_PlateG_F10_R1	0.0	0.0
Sample_PRO1747_PlateG_F10_R2	0.0	0.0
Sample_PRO1747_PlateG_F11_R1	0.0	0.0
Sample_PRO1747_PlateG_F11_R2	0.0	0.0
Sample_PRO1747_PlateG_F12_R1	0.0	0.0
Sample_PRO1747_PlateG_F12_R2	0.0	0.0
Sample_PRO1747_PlateG_F1_R1	0.11500246143414336	0.1453425296859899
Sample_PRO1747_PlateG_F1_R2	0.15706751707571423	0.17234105045980655
Sample_PRO1747_PlateG_F2_R1	0.0	0.12776824876817558
Sample_PRO1747_PlateG_F2_R2	0.0	0.14723727073082277
Sample_PRO1747_PlateG_F3_R1	0.20928140198980325	0.21334761712930014
Sample_PRO1747_PlateG_F3_R2	0.21671897271964258	0.23900594937030284
Sample_PRO1747_PlateG_F4_R1	3.548441208802716	0.645269824299607
Sample_PRO1747_PlateG_F4_R2	3.63002826340052	0.6477485643003411
Sample_PRO1747_PlateG_F5_R1	0.19103914909831257	0.19980420106299832
Sample_PRO1747_PlateG_F5_R2	0.18621019650944692	0.1922526749442124
Sample_PRO1747_PlateG_F6_R1	1.4948500133849234	1.075086082975846
Sample_PRO1747_PlateG_F6_R2	1.4373569669219366	1.087367148089211
Sample_PRO1747_PlateG_F7_R1	0.6150434804960483	0.7725589120370522
Sample_PRO1747_PlateG_F7_R2	0.6397302926626803	0.7185923924169734
Sample_PRO1747_PlateG_F8_R1	0.0	0.0
Sample_PRO1747_PlateG_F8_R2	0.0	0.0
Sample_PRO1747_PlateG_F9_R1	0.0	0.0
Sample_PRO1747_PlateG_F9_R2	0.0	0.0
Sample_PRO1747_PlateG_G10_R1	1.1343680469299855	0.8768045476144591
Sample_PRO1747_PlateG_G10_R2	1.1994706980522083	0.8704353396886374
Sample_PRO1747_PlateG_G11_R1	0.9679350008039939	0.7112403773623607
Sample_PRO1747_PlateG_G11_R2	0.9580085721062834	0.7029605126666405
Sample_PRO1747_PlateG_G12_R1	1.1556598035042651	0.7758869027575308
Sample_PRO1747_PlateG_G12_R2	1.1109846144326165	0.780287585358974
Sample_PRO1747_PlateG_G1_R1	0.10506294643439626	0.12431452551423475
Sample_PRO1747_PlateG_G1_R2	0.351654882405008	0.13481997837459261
Sample_PRO1747_PlateG_G2_R1	0.0	0.0
Sample_PRO1747_PlateG_G2_R2	0.0	0.0
Sample_PRO1747_PlateG_G3_R1	0.24450868564764902	0.2454511112030983
Sample_PRO1747_PlateG_G3_R2	0.24692999438241875	0.26669193333745583
Sample_PRO1747_PlateG_G4_R1	0.0	0.0
Sample_PRO1747_PlateG_G4_R2	0.0	0.0
Sample_PRO1747_PlateG_G5_R1	0.0	0.0
Sample_PRO1747_PlateG_G5_R2	0.0	0.0
Sample_PRO1747_PlateG_G6_R1	0.11322798516733773	0.1259020577144501
Sample_PRO1747_PlateG_G6_R2	0.1064481009661923	0.12402877179066539
Sample_PRO1747_PlateG_G7_R1	0.8833826494805118	0.7274249690046498
Sample_PRO1747_PlateG_G7_R2	0.7689273889678804	0.7011825762647418
Sample_PRO1747_PlateG_G8_R1	0.0	0.0
Sample_PRO1747_PlateG_G8_R2	0.0	0.0
Sample_PRO1747_PlateG_G9_R1	0.2479753337674403	0.28239599563043094
Sample_PRO1747_PlateG_G9_R2	0.2502120279182179	0.26565514145754593
Sample_PRO1747_PlateG_H10_R1	0.49602259499870427	0.47954289178082454
Sample_PRO1747_PlateG_H10_R2	0.4825156702289808	0.47602889509276636
Sample_PRO1747_PlateG_H11_R1	0.0	0.0
Sample_PRO1747_PlateG_H11_R2	0.0	0.0
Sample_PRO1747_PlateG_H12_R1	0.0	0.0
Sample_PRO1747_PlateG_H12_R2	0.0	0.0
Sample_PRO1747_PlateG_H1_R1	0.0	0.1001782794959574
Sample_PRO1747_PlateG_H1_R2	0.11557792185093009	0.11680819630904087
Sample_PRO1747_PlateG_H2_R1	0.1906560433485312	0.2530650059430353
Sample_PRO1747_PlateG_H2_R2	0.19678847483341902	0.24448794530838955
Sample_PRO1747_PlateG_H3_R1	0.15273941756240264	0.16870523811231872
Sample_PRO1747_PlateG_H3_R2	0.1616589149140532	0.16344440857515213
Sample_PRO1747_PlateG_H4_R1	0.608143257008269	0.8049202380005664
Sample_PRO1747_PlateG_H4_R2	0.5943281945508623	0.8284549332325746
Sample_PRO1747_PlateG_H5_R1	0.0	0.0
Sample_PRO1747_PlateG_H5_R2	0.0	0.0
Sample_PRO1747_PlateG_H6_R1	0.0	0.14328394223371013
Sample_PRO1747_PlateG_H6_R2	0.0	0.16052142613611298
Sample_PRO1747_PlateG_H7_R1	0.15431029950256137	0.18214519713527355
Sample_PRO1747_PlateG_H7_R2	0.15565987029687461	0.16957731911323076
Sample_PRO1747_PlateG_H8_R1	0.12235330838593217	0.22589493376618625
Sample_PRO1747_PlateG_H8_R2	0.13739602317484398	0.19600845265728287
Sample_PRO1747_PlateG_H9_R1	0.0	0.0
Sample_PRO1747_PlateG_H9_R2	0.0	0.0
Sample_PRO1747_PlateH_A10_R1	0.750840868990906	0.556144231452189
Sample_PRO1747_PlateH_A10_R2	0.7637875850529439	0.5316621973666975
Sample_PRO1747_PlateH_A11_R1	0.8326670542112248	0.6146631108884296
Sample_PRO1747_PlateH_A11_R2	0.8054216260397992	0.6219563421389068
Sample_PRO1747_PlateH_A12_R1	0.0	0.10012897062335802
Sample_PRO1747_PlateH_A12_R2	0.0	0.10287079054215428
Sample_PRO1747_PlateH_A1_R1	0.0	0.0
Sample_PRO1747_PlateH_A1_R2	0.0	0.0
Sample_PRO1747_PlateH_A2_R1	0.0	0.0
Sample_PRO1747_PlateH_A2_R2	0.0	0.0
Sample_PRO1747_PlateH_A3_R1	0.1458208906487174	0.162924244491011
Sample_PRO1747_PlateH_A3_R2	0.15027018143240303	0.15357373210011807
Sample_PRO1747_PlateH_A4_R1	0.6448604174055488	0.2481703481775982
Sample_PRO1747_PlateH_A4_R2	0.6431439247721631	0.2324475891704207
Sample_PRO1747_PlateH_A5_R1	0.0	0.0
Sample_PRO1747_PlateH_A5_R2	0.0	0.0
Sample_PRO1747_PlateH_A6_R1	0.2640086858037031	0.2655603616061098
Sample_PRO1747_PlateH_A6_R2	0.25481053068655235	0.272214663604892
Sample_PRO1747_PlateH_A7_R1	2.2603409568508868	0.8711815989637846
Sample_PRO1747_PlateH_A7_R2	2.123382337346061	0.9115283100187145
Sample_PRO1747_PlateH_A8_R1	0.4935151946654673	0.371470775685176
Sample_PRO1747_PlateH_A8_R2	0.4499472313487779	0.4034212375391799
Sample_PRO1747_PlateH_A9_R1	0.4370991102834678	0.5353817504655494
Sample_PRO1747_PlateH_A9_R2	0.4552038071591144	0.47330850403476105
Sample_PRO1747_PlateH_B10_R1	0.0	0.0
Sample_PRO1747_PlateH_B10_R2	0.0	0.0
Sample_PRO1747_PlateH_B11_R1	0.9309865319178348	0.706226338227883
Sample_PRO1747_PlateH_B11_R2	0.9154207581901593	0.7076248631289542
Sample_PRO1747_PlateH_B12_R1	0.10533269536058724	0.11084069176898455
Sample_PRO1747_PlateH_B12_R2	0.10096519901107151	0.11155681971293349
Sample_PRO1747_PlateH_B1_R1	0.1447974547088014	0.1483682660098064
Sample_PRO1747_PlateH_B1_R2	0.15642900276325863	0.18276637724078973
Sample_PRO1747_PlateH_B2_R1	0.0	0.0
Sample_PRO1747_PlateH_B2_R2	0.0	0.0
Sample_PRO1747_PlateH_B3_R1	0.5879126567015649	0.4992069957578658
Sample_PRO1747_PlateH_B3_R2	0.5771649233092963	0.5011470198358926
Sample_PRO1747_PlateH_B4_R1	0.26662924501824303	0.16839741790625876
Sample_PRO1747_PlateH_B4_R2	0.5262419309570587	0.1754139769856862
Sample_PRO1747_PlateH_B5_R1	0.0	0.0
Sample_PRO1747_PlateH_B5_R2	0.0	0.0
Sample_PRO1747_PlateH_B6_R1	0.0	0.0
Sample_PRO1747_PlateH_B6_R2	0.0	0.0
Sample_PRO1747_PlateH_B7_R1	24.422442244224392	0.132013201320132
Sample_PRO1747_PlateH_B7_R2	24.224422442244194	0.19801980198019803
Sample_PRO1747_PlateH_B8_R1	1.9002250499088167	0.5700373758144497
Sample_PRO1747_PlateH_B8_R2	1.8856197767616991	0.5563199859763311
Sample_PRO1747_PlateH_B9_R1	0.0	0.13112338968325143
Sample_PRO1747_PlateH_B9_R2	0.10831375043221916	0.1220358414610471
Sample_PRO1747_PlateH_C10_R1	0.0	0.0
Sample_PRO1747_PlateH_C10_R2	0.0	0.0
Sample_PRO1747_PlateH_C11_R1	1.8533777325792973	0.4374142108148408
Sample_PRO1747_PlateH_C11_R2	1.7287692389949512	0.4483436656320298
Sample_PRO1747_PlateH_C12_R1	0.0	0.0
Sample_PRO1747_PlateH_C12_R2	0.0	0.0
Sample_PRO1747_PlateH_C1_R1	0.0	0.0
Sample_PRO1747_PlateH_C1_R2	0.0	0.0
Sample_PRO1747_PlateH_C3_R1	0.2832248700953839	0.34256952941830543
Sample_PRO1747_PlateH_C3_R2	0.3102885057016452	0.3262244959460477
Sample_PRO1747_PlateH_C4_R1	0.5419091179459514	0.20425287049795898
Sample_PRO1747_PlateH_C4_R2	0.817352903099061	0.18549316479557135
Sample_PRO1747_PlateH_C5_R1	0.546071331058691	0.6727677370057613
Sample_PRO1747_PlateH_C5_R2	0.5025133031226243	0.7352320115657123
