Sample	r_with_adapters	bp_processed	percent_trimmed	bp_written	r_processed	quality_trimmed
Sample_PRO1747_PlateG_A10_R1	3283059	1635172866	1.654668724181239	1608116172	13092489	6839480
Sample_PRO1747_PlateG_A10_R2	3368483	1649653614	1.9219652981040904	1617947844	13092489	11497934
Sample_PRO1747_PlateG_A11_R1	2833907	1450759458	1.6328417415700902	1427070852	11610551	7408310
Sample_PRO1747_PlateG_A11_R2	2930965	1462929426	1.9283366305053735	1434719222	11610551	11785955
Sample_PRO1747_PlateG_A12_R1	2372088	1122184590	1.9419748046976837	1100392048	8984302	3737252
Sample_PRO1747_PlateG_A12_R2	2454551	1132022052	2.3398385175627303	1105534564	8984302	8470332
Sample_PRO1747_PlateG_A1_R1	2967392	1466207214	1.6085753619815433	1442622166	11732574	6609500
Sample_PRO1747_PlateG_A1_R2	3080912	1478304324	1.9117150333113686	1450043358	11732574	11096722
Sample_PRO1747_PlateG_A2_R1	3640629	1870185774	1.4425705924549503	1843207024	14970662	6884956
Sample_PRO1747_PlateG_A2_R2	3742261	1886303412	1.7913247564013843	1852513592	14970662	13803614
Sample_PRO1747_PlateG_A3_R1	3708203	1888072332	1.228074401971587	1864885399	15119421	5525717
Sample_PRO1747_PlateG_A3_R2	3819879	1905047046	1.5282816800315386	1875932561	15119421	11429127
Sample_PRO1747_PlateG_A4_R1	2577146	1361445186	1.3682196824044595	1342817625	10895733	5886211
Sample_PRO1747_PlateG_A4_R2	2699738	1372862358	1.556587146225769	1351492559	10895733	8387060
Sample_PRO1747_PlateG_A5_R1	3664959	1944718212	0.9281548292509125	1926668216	15562956	6904598
Sample_PRO1747_PlateG_A5_R2	3795619	1960932456	1.306340609622711	1935315999	15562956	14379971
Sample_PRO1747_PlateG_A6_R1	2854343	1525315890	1.0835305072446337	1508788627	12210047	6410055
Sample_PRO1747_PlateG_A6_R2	2955834	1538465922	1.3840996862847639	1517172020	12210047	11082114
Sample_PRO1747_PlateG_A7_R1	3476228	1883552304	1.2384868182561497	1860224757	15084552	9413369
Sample_PRO1747_PlateG_A7_R2	3659389	1900653552	1.3396308324159014	1875191811	15084552	11315298
Sample_PRO1747_PlateG_A8_R1	3046249	1558299864	1.5837234905899986	1533620703	12478362	8051673
Sample_PRO1747_PlateG_A8_R2	3193877	1572273612	1.8228351465838886	1543613656	12478362	11940778
Sample_PRO1747_PlateG_A9_R1	4277637	2253648348	1.1970387049932067	2226671305	18049592	7015123
Sample_PRO1747_PlateG_A9_R2	4426146	2274248592	1.601676620934674	2237822484	18049592	16508586
Sample_PRO1747_PlateG_B10_R1	2127436	1019859594	1.9578727422355355	999892041	8166078	3316050
Sample_PRO1747_PlateG_B10_R2	2211894	1028925828	2.2959398391154004	1005302310	8166078	6948373
Sample_PRO1747_PlateG_B11_R1	2957845	1522438662	1.2874290760753158	1502838344	12184325	6960256
Sample_PRO1747_PlateG_B11_R2	3059130	1535224950	1.4626864291125545	1512769423	12184325	9687559
Sample_PRO1747_PlateG_B12_R1	3117475	1510226652	1.4844859856174755	1487807549	12088587	5226107
Sample_PRO1747_PlateG_B12_R2	3230489	1523161962	1.8023820634249794	1495708764	12088587	10214832
Sample_PRO1747_PlateG_B1_R1	4176557	2201325648	1.2775140754640406	2173203403	17623451	7482598
Sample_PRO1747_PlateG_B1_R2	4307796	2220554826	1.5501462786219897	2186132978	17623451	13689487
Sample_PRO1747_PlateG_B2_R1	4085395	2170300962	1.2775291761585645	2142574734	17379264	6792736
Sample_PRO1747_PlateG_B2_R2	4192971	2189787264	1.674683819879957	2153115251	17379264	15896085
Sample_PRO1747_PlateG_B3_R1	3249849	1680721818	1.4658353771665027	1656085203	13459095	5196313
Sample_PRO1747_PlateG_B3_R2	3353391	1695845970	1.8511725448744618	1664452935	13459095	11950527
Sample_PRO1747_PlateG_B4_R1	3643728	1863469662	1.3695318748902712	1837948851	14922149	6308946
Sample_PRO1747_PlateG_B4_R2	3751845	1880190774	1.686427007220279	1848482729	14922149	12545942
Sample_PRO1747_PlateG_B5_R1	2550315	1303354026	1.0490318614322522	1289681427	10427781	5395100
Sample_PRO1747_PlateG_B5_R2	2642153	1313900406	1.233465712164488	1297693895	10427781	7822586
Sample_PRO1747_PlateG_B6_R1	2300767	1208161884	1.21738023643858	1193453960	9666986	6952134
Sample_PRO1747_PlateG_B6_R2	2419319	1218040236	1.4867164864330475	1199931431	9666986	10131456
Sample_PRO1747_PlateG_B7_R1	2346003	1362091728	1.295101397165228	1344451259	10907814	6597887
Sample_PRO1747_PlateG_B7_R2	2499666	1374384564	1.4524043359381036	1354422943	10907814	8707925
Sample_PRO1747_PlateG_B8_R1	245562	121301700	1.6567599629683671	119292022	968582	885516
