Sample	bp_processed	quality_trimmed	bp_written	r_with_adapters	r_processed	percent_trimmed
Sample_PRO1747_PlateG_A10_R1	1635172866	6839480	1608116172	3283059	13092489	1.654668724181239
Sample_PRO1747_PlateG_A10_R2	1649653614	11497934	1617947844	3368483	13092489	1.9219652981040904
Sample_PRO1747_PlateG_A11_R1	1450759458	7408310	1427070852	2833907	11610551	1.6328417415700902
Sample_PRO1747_PlateG_A11_R2	1462929426	11785955	1434719222	2930965	11610551	1.9283366305053735
Sample_PRO1747_PlateG_A12_R1	1122184590	3737252	1100392048	2372088	8984302	1.9419748046976837
Sample_PRO1747_PlateG_A12_R2	1132022052	8470332	1105534564	2454551	8984302	2.3398385175627303
Sample_PRO1747_PlateG_A1_R1	1466207214	6609500	1442622166	2967392	11732574	1.6085753619815433
Sample_PRO1747_PlateG_A1_R2	1478304324	11096722	1450043358	3080912	11732574	1.9117150333113686
Sample_PRO1747_PlateG_A2_R1	1870185774	6884956	1843207024	3640629	14970662	1.4425705924549503
Sample_PRO1747_PlateG_A2_R2	1886303412	13803614	1852513592	3742261	14970662	1.7913247564013843
Sample_PRO1747_PlateG_A3_R1	1888072332	5525717	1864885399	3708203	15119421	1.228074401971587
Sample_PRO1747_PlateG_A3_R2	1905047046	11429127	1875932561	3819879	15119421	1.5282816800315386
Sample_PRO1747_PlateG_A4_R1	1361445186	5886211	1342817625	2577146	10895733	1.3682196824044595
Sample_PRO1747_PlateG_A4_R2	1372862358	8387060	1351492559	2699738	10895733	1.556587146225769
Sample_PRO1747_PlateG_A5_R1	1944718212	6904598	1926668216	3664959	15562956	0.9281548292509125
Sample_PRO1747_PlateG_A5_R2	1960932456	14379971	1935315999	3795619	15562956	1.306340609622711
Sample_PRO1747_PlateG_A6_R1	1525315890	6410055	1508788627	2854343	12210047	1.0835305072446337
Sample_PRO1747_PlateG_A6_R2	1538465922	11082114	1517172020	2955834	12210047	1.3840996862847639
Sample_PRO1747_PlateG_A7_R1	1883552304	9413369	1860224757	3476228	15084552	1.2384868182561497
Sample_PRO1747_PlateG_A7_R2	1900653552	11315298	1875191811	3659389	15084552	1.3396308324159014
Sample_PRO1747_PlateG_A8_R1	1558299864	8051673	1533620703	3046249	12478362	1.5837234905899986
Sample_PRO1747_PlateG_A8_R2	1572273612	11940778	1543613656	3193877	12478362	1.8228351465838886
Sample_PRO1747_PlateG_A9_R1	2253648348	7015123	2226671305	4277637	18049592	1.1970387049932067
Sample_PRO1747_PlateG_A9_R2	2274248592	16508586	2237822484	4426146	18049592	1.601676620934674
Sample_PRO1747_PlateG_B10_R1	1019859594	3316050	999892041	2127436	8166078	1.9578727422355355
Sample_PRO1747_PlateG_B10_R2	1028925828	6948373	1005302310	2211894	8166078	2.2959398391154004
Sample_PRO1747_PlateG_B11_R1	1522438662	6960256	1502838344	2957845	12184325	1.2874290760753158
Sample_PRO1747_PlateG_B11_R2	1535224950	9687559	1512769423	3059130	12184325	1.4626864291125545
Sample_PRO1747_PlateG_B12_R1	1510226652	5226107	1487807549	3117475	12088587	1.4844859856174755
Sample_PRO1747_PlateG_B12_R2	1523161962	10214832	1495708764	3230489	12088587	1.8023820634249794
Sample_PRO1747_PlateG_B1_R1	2201325648	7482598	2173203403	4176557	17623451	1.2775140754640406
Sample_PRO1747_PlateG_B1_R2	2220554826	13689487	2186132978	4307796	17623451	1.5501462786219897
Sample_PRO1747_PlateG_B2_R1	2170300962	6792736	2142574734	4085395	17379264	1.2775291761585645
Sample_PRO1747_PlateG_B2_R2	2189787264	15896085	2153115251	4192971	17379264	1.674683819879957
Sample_PRO1747_PlateG_B3_R1	1680721818	5196313	1656085203	3249849	13459095	1.4658353771665027
Sample_PRO1747_PlateG_B3_R2	1695845970	11950527	1664452935	3353391	13459095	1.8511725448744618
Sample_PRO1747_PlateG_B4_R1	1863469662	6308946	1837948851	3643728	14922149	1.3695318748902712
Sample_PRO1747_PlateG_B4_R2	1880190774	12545942	1848482729	3751845	14922149	1.686427007220279
Sample_PRO1747_PlateG_B5_R1	1303354026	5395100	1289681427	2550315	10427781	1.0490318614322522
Sample_PRO1747_PlateG_B5_R2	1313900406	7822586	1297693895	2642153	10427781	1.233465712164488
Sample_PRO1747_PlateG_B6_R1	1208161884	6952134	1193453960	2300767	9666986	1.21738023643858
Sample_PRO1747_PlateG_B6_R2	1218040236	10131456	1199931431	2419319	9666986	1.4867164864330475
Sample_PRO1747_PlateG_B7_R1	1362091728	6597887	1344451259	2346003	10907814	1.295101397165228
Sample_PRO1747_PlateG_B7_R2	1374384564	8707925	1354422943	2499666	10907814	1.4524043359381036
Sample_PRO1747_PlateG_B8_R1	121301700	885516	119292022	245562	968582	1.6567599629683671
Sample_PRO1747_PlateG_B8_R2	122041332	1014003	119897397	267940	968582	1.756728613876486
Sample_PRO1747_PlateG_B9_R1	2040235302	5666792	2021251550	3886133	16340364	0.9304687543339056
Sample_PRO1747_PlateG_B9_R2	2058885864	14368130	2031222209	3984900	16340364	1.3436225622655495
Sample_PRO1747_PlateG_C10_R1	1788083124	5682448	1763157051	3607239	14319533	1.3940108636694455
Sample_PRO1747_PlateG_C10_R2	1804261158	13980611	1771066041	3719532	14319533	1.839817747714325
Sample_PRO1747_PlateG_C11_R1	1612384674	7126906	1588874158	3102292	12910543	1.4581207809222827
Sample_PRO1747_PlateG_C11_R2	1626728418	11393969	1598736370	3247085	12910543	1.72075729975967
Sample_PRO1747_PlateG_C12_R1	1739620200	5263062	1708561681	3722481	13930012	1.7853620577641025
Sample_PRO1747_PlateG_C12_R2	1755181512	11517163	1717969048	3794868	13930012	2.1201490413146513
Sample_PRO1747_PlateG_C1_R1	1793747322	7028268	1767946298	3387067	14358921	1.438386760696722
Sample_PRO1747_PlateG_C1_R2	1809224046	12187983	1778351185	3470903	14358921	1.706414474661476
Sample_PRO1747_PlateG_C2_R1	1211452134	6351551	1197183438	2341539	9696752	1.1778175628687282
Sample_PRO1747_PlateG_C2_R2	1221790752	9597009	1204138105	2456587	9696752	1.4448175328798036
Sample_PRO1747_PlateG_C3_R1	1215868734	4667488	1200058583	2404618	9735730	1.3003172594123142
Sample_PRO1747_PlateG_C3_R2	1226701980	6847227	1208590851	2506038	9735730	1.4764082307913124
Sample_PRO1747_PlateG_C4_R1	1519228896	6451378	1497571016	2962163	12163581	1.4255837324463319
Sample_PRO1747_PlateG_C4_R2	1532611206	11633826	1505732614	3052216	12163581	1.7537775983089088
Sample_PRO1747_PlateG_C5_R1	1845959472	6669195	1825080345	3529033	14778690	1.1310717985253795
Sample_PRO1747_PlateG_C5_R2	1862114940	15617477	1832335740	3622118	14778690	1.5992138487434078
Sample_PRO1747_PlateG_C6_R1	1114612080	5856097	1098198921	2245763	8923048	1.4725445107323796
Sample_PRO1747_PlateG_C6_R2	1124304048	9959762	1103614531	2339929	8923048	1.8402065737292443
Sample_PRO1747_PlateG_C7_R1	1913820924	6642906	1892081548	3513201	15328637	1.1359148459179453
Sample_PRO1747_PlateG_C7_R2	1931408262	13016012	1903330407	3601067	15328637	1.453750382683203
Sample_PRO1747_PlateG_C8_R1	1372499016	6271960	1358292696	2353171	10990065	1.0350695945416983
Sample_PRO1747_PlateG_C8_R2	1384748190	8960672	1367753158	2472289	10990065	1.227301261177312
Sample_PRO1747_PlateG_C9_R1	1494392784	7580496	1474581328	2921392	11965943	1.3257194635918423
Sample_PRO1747_PlateG_C9_R2	1507708818	10301586	1484990689	3070732	11965943	1.5067981780550945
