Sample	adapter_content	Sequence length	per_base_n_content	sequence_length_distribution	Filename	per_base_sequence_content	Sequences flagged as poor quality	Encoding	per_tile_sequence_quality	per_sequence_quality_scores	avg_sequence_length	overrepresented_sequences	sequence_duplication_levels	kmer_content	per_base_sequence_quality	File type	%GC	per_sequence_gc_content	Total Sequences	total_deduplicated_percentage	basic_statistics
Sample_PRO1747_PlateG_A10_R1_val_1	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A10_R1_val_1.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	124.11760009917181	warn	pass	fail	pass	Conventional base calls	34.0	pass	12672957.0	73.92519650189232	pass
Sample_PRO1747_PlateG_A10_R2_val_2	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A10_R2_val_2.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	125.24332071828225	warn	fail	fail	pass	Conventional base calls	34.0	pass	12672957.0	46.229699819767575	pass
Sample_PRO1747_PlateG_A11_R1_val_1	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A11_R1_val_1.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	124.10512265736256	warn	pass	fail	pass	Conventional base calls	34.0	pass	11241763.0	77.56375593516665	pass
Sample_PRO1747_PlateG_A11_R2_val_2	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A11_R2_val_2.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	125.20828370069712	warn	warn	fail	pass	Conventional base calls	34.0	pass	11241763.0	50.938315831831105	pass
Sample_PRO1747_PlateG_A12_R1_val_1	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A12_R1_val_1.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	124.15205569832284	warn	warn	fail	pass	Conventional base calls	35.0	warn	8630206.0	67.65814964614638	pass
Sample_PRO1747_PlateG_A12_R2_val_2	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A12_R2_val_2.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	125.14235280131204	warn	fail	fail	pass	Conventional base calls	35.0	warn	8630206.0	36.62148784654292	pass
Sample_PRO1747_PlateG_A1_R1_val_1	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A1_R1_val_1.fq.gz	warn	0.0	Sanger / Illumina 1.9	pass	pass	124.13157650474619	warn	pass	fail	pass	Conventional base calls	34.0	pass	11376902.0	79.30733303321898	pass
Sample_PRO1747_PlateG_A1_R2_val_2	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A1_R2_val_2.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	125.18673941289114	warn	warn	fail	pass	Conventional base calls	34.0	pass	11376902.0	53.36476676864772	pass
Sample_PRO1747_PlateG_A2_R1_val_1	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A2_R1_val_1.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	124.21014742118001	warn	pass	fail	pass	Conventional base calls	33.0	pass	14538413.0	70.4537298062474	pass
Sample_PRO1747_PlateG_A2_R2_val_2	pass	100-126	pass	warn	Sample_PRO1747_PlateG_A2_R2_val_2.fq.gz	fail	0.0	Sanger / Illumina 1.9	pass	pass	125.23811505423598	warn	fail	fail	pass	Conventional base calls	33.0	pass	14538413.0	40.20239393310079	pass
