Sample	per_tile_sequence_quality	Sequences flagged as poor quality	per_base_sequence_content	sequence_length_distribution	avg_sequence_length	overrepresented_sequences	basic_statistics	Encoding	File type	adapter_content	Filename	total_deduplicated_percentage	kmer_content	per_sequence_quality_scores	Total Sequences	%GC	per_base_n_content	sequence_duplication_levels	Sequence length	per_base_sequence_quality	per_sequence_gc_content
Sample_PRO1747_PlateG_A10_R1	pass	0.0	fail	warn	124.89396523457076	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A10_R1.fastq.gz	74.10763592096859	fail	pass	13092489.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A10_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A10_R2.fastq.gz	47.25138625901261	fail	pass	13092489.0	34.0	pass	fail	126.0	pass	pass
Sample_PRO1747_PlateG_A11_R1	pass	0.0	fail	warn	124.95181822120242	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A11_R1.fastq.gz	77.7348054437919	fail	pass	11610551.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A11_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A11_R2.fastq.gz	51.790415964182465	fail	pass	11610551.0	34.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_A12_R1	pass	0.0	fail	warn	124.90503881102839	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A12_R1.fastq.gz	68.2311541135171	fail	pass	8984302.0	35.0	pass	warn	120-126	pass	warn
Sample_PRO1747_PlateG_A12_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A12_R2.fastq.gz	38.40491145327922	fail	pass	8984302.0	35.0	pass	fail	126.0	pass	warn
Sample_PRO1747_PlateG_A1_R1	pass	0.0	warn	warn	124.96892958015863	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A1_R1.fastq.gz	79.43457904902725	fail	pass	11732574.0	34.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A1_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A1_R2.fastq.gz	54.19807412172882	fail	pass	11732574.0	35.0	pass	warn	126.0	pass	pass
Sample_PRO1747_PlateG_A2_R1	pass	0.0	fail	warn	124.92338508477448	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A2_R1.fastq.gz	70.67481935260426	fail	pass	14970662.0	33.0	pass	pass	120-126	pass	pass
Sample_PRO1747_PlateG_A2_R2	pass	0.0	fail	pass	126.0	warn	pass	Sanger / Illumina 1.9	Conventional base calls	pass	Sample_PRO1747_PlateG_A2_R2.fastq.gz	41.292690418495184	fail	pass	14970662.0	33.0	pass	fail	126.0	pass	pass
