Sample	FastQC_mqc-generalstats-percent_gc	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length
Sample_PRO1747_PlateG_A10_R1	34.0	1.654668724181239	25.89236407903141	13092489.0	16.666666666666664	124.89396523457076
Sample_PRO1747_PlateG_A10_R2	34.0	1.9219652981040904	52.74861374098739	13092489.0	25.0	126.0
Sample_PRO1747_PlateG_A11_R1	34.0	1.6328417415700902	22.2651945562081	11610551.0	16.666666666666664	124.95181822120242
Sample_PRO1747_PlateG_A11_R2	34.0	1.9283366305053735	48.209584035817535	11610551.0	16.666666666666664	126.0
Sample_PRO1747_PlateG_A12_R1	35.0	1.9419748046976837	31.768845886482893	8984302.0	16.666666666666664	124.90503881102839
Sample_PRO1747_PlateG_A12_R2	35.0	2.3398385175627303	61.59508854672078	8984302.0	25.0	126.0
Sample_PRO1747_PlateG_A1_R1	34.0	1.6085753619815433	20.56542095097275	11732574.0	8.333333333333332	124.96892958015863
Sample_PRO1747_PlateG_A1_R2	35.0	1.9117150333113686	45.80192587827118	11732574.0	16.666666666666664	126.0
Sample_PRO1747_PlateG_A2_R1	33.0	1.4425705924549503	29.32518064739574	14970662.0	16.666666666666664	124.92338508477448
Sample_PRO1747_PlateG_A2_R2	33.0	1.7913247564013843	58.707309581504816	14970662.0	25.0	126.0
Sample_PRO1747_PlateG_A3_R1	34.0	1.228074401971587	25.067365530287674	15119421.0	16.666666666666664	124.87729073752229
Sample_PRO1747_PlateG_A3_R2	34.0	1.5282816800315386	53.5124912002906	15119421.0	25.0	126.0
Sample_PRO1747_PlateG_A4_R1	32.0	1.3682196824044595	22.095492161797523	10895733.0	16.666666666666664	124.95214282508574
Sample_PRO1747_PlateG_A4_R2	32.0	1.556587146225769	52.82574451043566	10895733.0	25.0	126.0
Sample_PRO1747_PlateG_A5_R1	34.0	0.9281548292509125	22.336538940077915	15562956.0	16.666666666666664	124.95815139488924
Sample_PRO1747_PlateG_A5_R2	34.0	1.306340609622711	43.79079828480814	15562956.0	16.666666666666664	126.0
Sample_PRO1747_PlateG_A6_R1	34.0	1.0835305072446337	24.984070100551335	12210047.0	16.666666666666664	124.92301544785208
Sample_PRO1747_PlateG_A6_R2	34.0	1.3840996862847639	52.19351309103477	12210047.0	25.0	126.0
Sample_PRO1747_PlateG_A7_R1	34.0	1.2384868182561497	26.491252242595337	15084552.0	25.0	124.86630719957742
Sample_PRO1747_PlateG_A7_R2	34.0	1.3396308324159014	50.958654920048765	15084552.0	33.33333333333333	126.0
Sample_PRO1747_PlateG_A8_R1	34.0	1.5837234905899986	22.814320094548904	12478362.0	16.666666666666664	124.880161675066
Sample_PRO1747_PlateG_A8_R2	34.0	1.8228351465838886	48.69962775851494	12478362.0	16.666666666666664	126.0
Sample_PRO1747_PlateG_A9_R1	33.0	1.1970387049932067	20.79040869852446	18049592.0	16.666666666666664	124.85868644565484
Sample_PRO1747_PlateG_A9_R2	33.0	1.601676620934674	43.020309038569515	18049592.0	16.666666666666664	126.0
Sample_PRO1747_PlateG_B10_R1	33.0	1.9578727422355355	31.138651427421067	8166078.0	25.0	124.88976887068677
Sample_PRO1747_PlateG_B10_R2	33.0	2.2959398391154004	62.1492521423006	8166078.0	25.0	126.0
Sample_PRO1747_PlateG_B11_R1	34.0	1.2874290760753158	28.39257709373277	12184325.0	16.666666666666664	124.95059529354315
Sample_PRO1747_PlateG_B11_R2	34.0	1.4626864291125545	59.66645799949714	12184325.0	25.0	126.0
Sample_PRO1747_PlateG_B12_R1	35.0	1.4844859856174755	25.917258255023285	12088587.0	16.666666666666664	124.92995682621964
Sample_PRO1747_PlateG_B12_R2	35.0	1.8023820634249794	55.38434382885525	12088587.0	25.0	126.0
Sample_PRO1747_PlateG_B1_R1	33.0	1.2775140754640406	22.961712892813907	17623451.0	16.666666666666664	124.90888691437335
Sample_PRO1747_PlateG_B1_R2	33.0	1.5501462786219897	50.020236382156064	17623451.0	25.0	126.0
Sample_PRO1747_PlateG_B2_R1	32.0	1.2775291761585645	37.225432275752645	17379264.0	16.666666666666664	124.87876137907796
