Sample	Sequence length	total_deduplicated_percentage	adapter_content	basic_statistics	per_base_n_content	per_sequence_quality_scores	Encoding	Total Sequences	Sequences flagged as poor quality	kmer_content	overrepresented_sequences	File type	per_base_sequence_content	sequence_length_distribution	Filename	avg_sequence_length	sequence_duplication_levels	per_sequence_gc_content	per_base_sequence_quality	%GC	per_tile_sequence_quality
Sample_PRO1322_PlateA_A10_R1	125-126	30.304624940533365	pass	pass	pass	pass	Sanger / Illumina 1.9	8416759.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A10_R1.fastq.gz	125.91802889924732	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_A10_R2	125-126	30.146067714430586	pass	pass	pass	pass	Sanger / Illumina 1.9	8416759.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A10_R2.fastq.gz	125.91802889924732	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_A11_R1	125-126	21.746786536092504	pass	pass	pass	pass	Sanger / Illumina 1.9	11302400.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A11_R1.fastq.gz	125.92560022650056	fail	pass	pass	34.0	pass
Sample_PRO1322_PlateA_A11_R2	125-126	21.453641140234488	pass	pass	pass	pass	Sanger / Illumina 1.9	11302400.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A11_R2.fastq.gz	125.92560022650056	fail	warn	pass	34.0	pass
Sample_PRO1322_PlateA_A12_R1	125-126	85.9897019574246	pass	pass	pass	pass	Sanger / Illumina 1.9	220471.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A12_R1.fastq.gz	125.91162102952316	pass	pass	pass	35.0	pass
Sample_PRO1322_PlateA_A12_R2	125-126	86.39840908315574	pass	pass	pass	pass	Sanger / Illumina 1.9	220471.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A12_R2.fastq.gz	125.91162102952316	pass	pass	pass	35.0	pass
Sample_PRO1322_PlateA_A1_R1	125-126	27.588913979720264	pass	pass	pass	pass	Sanger / Illumina 1.9	10909263.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A1_R1.fastq.gz	125.93409389800209	fail	pass	pass	32.0	pass
Sample_PRO1322_PlateA_A1_R2	125-126	26.404236827906942	pass	pass	pass	pass	Sanger / Illumina 1.9	10909263.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A1_R2.fastq.gz	125.93409389800209	fail	pass	pass	32.0	pass
Sample_PRO1322_PlateA_A2_R1	125-126	31.01075066130261	pass	pass	pass	pass	Sanger / Illumina 1.9	17755831.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A2_R1.fastq.gz	125.91924376842739	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_A2_R2	125-126	31.67604470455049	pass	pass	pass	pass	Sanger / Illumina 1.9	17755831.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A2_R2.fastq.gz	125.91924376842739	fail	pass	pass	35.0	pass
Sample_PRO1322_PlateA_A3_R1	125-126	23.320703551710817	warn	pass	pass	pass	Sanger / Illumina 1.9	13649817.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A3_R1.fastq.gz	125.91559271453968	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_A3_R2	125-126	23.953152285626267	warn	pass	pass	pass	Sanger / Illumina 1.9	13649817.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A3_R2.fastq.gz	125.91559271453968	fail	warn	pass	35.0	pass
Sample_PRO1322_PlateA_A4_R1	125-126	10.884759888071713	pass	pass	pass	pass	Sanger / Illumina 1.9	18545378.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A4_R1.fastq.gz	125.91917420070921	fail	fail	fail	38.0	pass
Sample_PRO1322_PlateA_A4_R2	125-126	10.376786374680627	pass	pass	pass	pass	Sanger / Illumina 1.9	18545378.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A4_R2.fastq.gz	125.91917420070921	fail	fail	pass	38.0	pass
Sample_PRO1322_PlateA_A5_R1	125-126	31.513142055773802	pass	pass	pass	pass	Sanger / Illumina 1.9	17209015.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A5_R1.fastq.gz	125.94102916407476	fail	pass	pass	32.0	pass
Sample_PRO1322_PlateA_A5_R2	125-126	32.00935289778456	pass	pass	pass	pass	Sanger / Illumina 1.9	17209015.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A5_R2.fastq.gz	125.94102916407476	fail	pass	pass	32.0	pass
Sample_PRO1322_PlateA_A6_R1	125-126	19.026007361177697	pass	pass	pass	pass	Sanger / Illumina 1.9	17327846.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A6_R1.fastq.gz	125.93082694756174	fail	warn	pass	37.0	pass
Sample_PRO1322_PlateA_A6_R2	125-126	19.175027286686387	pass	pass	pass	pass	Sanger / Illumina 1.9	17327846.0	0.0	fail	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A6_R2.fastq.gz	125.93082694756174	fail	warn	pass	37.0	pass
Sample_PRO1322_PlateA_A7_R1	125-126	84.3683029620567	pass	pass	pass	pass	Sanger / Illumina 1.9	130774.0	0.0	warn	fail	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A7_R1.fastq.gz	125.92194167036261	pass	pass	pass	34.0	pass
Sample_PRO1322_PlateA_A7_R2	125-126	84.3359926570422	pass	pass	pass	pass	Sanger / Illumina 1.9	130774.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A7_R2.fastq.gz	125.92194167036261	pass	pass	pass	34.0	pass
Sample_PRO1322_PlateA_A8_R1	125-126	24.340782868853037	pass	pass	pass	pass	Sanger / Illumina 1.9	15502332.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A8_R1.fastq.gz	125.923541632317	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_A8_R2	125-126	24.190918123157967	pass	pass	pass	pass	Sanger / Illumina 1.9	15502332.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A8_R2.fastq.gz	125.923541632317	fail	pass	pass	36.0	pass
Sample_PRO1322_PlateA_A9_R1	125-126	32.86950295256889	pass	pass	pass	pass	Sanger / Illumina 1.9	25007775.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A9_R1.fastq.gz	125.90918240427227	fail	pass	pass	37.0	pass
Sample_PRO1322_PlateA_A9_R2	125-126	33.8408477441418	pass	pass	pass	pass	Sanger / Illumina 1.9	25007775.0	0.0	fail	pass	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_A9_R2.fastq.gz	125.90918240427227	fail	pass	pass	37.0	pass
Sample_PRO1322_PlateA_B10_R1	125-126	85.43100923829893	pass	pass	pass	pass	Sanger / Illumina 1.9	511554.0	0.0	warn	warn	Conventional base calls	fail	warn	Sample_PRO1322_PlateA_B10_R1.fastq.gz	125.90957748351103	pass	pass	fail	35.0	pass
