Sample	percent_trimmed	bp_processed	r_processed	r_with_adapters	bp_written	quality_trimmed
Sample_IPO3916_A10_R1	2.9504791257253853	1208810484	9593734	2618666	1173144783	12518639
Sample_IPO3916_A10_R2	4.298914981945177	1208810484	9593734	2673042	1156844749	29620057
Sample_IPO3916_A11_R1	5.86944957583748	500429412	3971662	1296010	471056960	6764974
Sample_IPO3916_A11_R2	6.48956900239109	500429412	3971662	1318892	467953700	10442061
Sample_IPO3916_A12_R1	3.964294535079662	793522674	6297799	1821613	762065098	11685763
Sample_IPO3916_A12_R2	4.601758613390296	793522674	6297799	1873367	757006676	17186071
Sample_IPO3916_A1_R1	10.674972842352288	1824178608	14477608	6248268	1629448037	26798582
Sample_IPO3916_A1_R2	11.115225236760368	1824178608	14477608	6313141	1621417047	40016741
Sample_IPO3916_A2_R1	6.660953220173546	911225826	7231951	2513726	850529500	15408434
Sample_IPO3916_A2_R2	7.043570119357	911225826	7231951	2544210	847042996	20056864
Sample_IPO3916_A3_R1	8.461291315141821	463948002	3682127	1433963	424692010	6896312
Sample_IPO3916_A3_R2	8.832824114629984	463948002	3682127	1452467	422968291	9505369
Sample_IPO3916_A4_R1	3.4577423141115475	493449264	3916264	1155820	476387060	4697082
Sample_IPO3916_A4_R2	4.365867288029839	493449264	3916264	1202126	471905924	9503534
Sample_IPO3916_A5_R1	4.557818866631528	1028877570	8165695	2372885	981983194	13662912
Sample_IPO3916_A5_R2	5.4270441525904785	1028877570	8165695	2429237	973039930	23883696
Sample_IPO3916_A6_R1	7.635301644301571	932491476	7400726	2812091	861292939	13085789
Sample_IPO3916_A6_R2	8.440809168318875	932491476	7400726	2867535	853781650	22827370
Sample_IPO3916_A7_R1	6.802182035947306	1078691670	8561045	2967891	1005317099	15271283
Sample_IPO3916_A7_R2	7.384764916187773	1078691670	8561045	3025694	999032826	23134258
Sample_IPO3916_A8_R1	5.238552206965583	1123358796	8915546	2998201	1064511059	11998787
Sample_IPO3916_A8_R2	6.15907600014911	1123358796	8915546	3054197	1054170274	23963612
Sample_IPO3916_A9_R1	5.186559066568701	1441774152	11442652	3846493	1366995684	16786921
