Sample	adapter_content	per_sequence_quality_scores	basic_statistics	Total Sequences	File type	per_sequence_gc_content	Filename	per_base_n_content	Sequences flagged as poor quality	per_base_sequence_quality	%GC	sequence_duplication_levels	sequence_length_distribution	total_deduplicated_percentage	per_tile_sequence_quality	per_base_sequence_content	avg_sequence_length	Sequence length	Encoding	kmer_content	overrepresented_sequences
Sample_IPO3916_A10_R1	pass	pass	pass	9593734.0	Conventional base calls	pass	Sample_IPO3916_A10_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	32.33591900566862	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A10_R2	pass	pass	pass	9593734.0	Conventional base calls	pass	Sample_IPO3916_A10_R2.fastq.gz	pass	0.0	fail	36.0	fail	pass	33.36629115631957	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A11_R1	fail	pass	pass	3971662.0	Conventional base calls	pass	Sample_IPO3916_A11_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	47.2712524790544	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A11_R2	fail	pass	pass	3971662.0	Conventional base calls	pass	Sample_IPO3916_A11_R2.fastq.gz	pass	0.0	pass	36.0	fail	pass	47.7439977480931	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A12_R1	warn	pass	pass	6297799.0	Conventional base calls	pass	Sample_IPO3916_A12_R1.fastq.gz	pass	0.0	pass	37.0	fail	pass	40.73748530083147	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_A12_R2	warn	pass	pass	6297799.0	Conventional base calls	pass	Sample_IPO3916_A12_R2.fastq.gz	pass	0.0	pass	37.0	fail	pass	40.998921018660255	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_A1_R1	fail	pass	pass	14477608.0	Conventional base calls	pass	Sample_IPO3916_A1_R1.fastq.gz	pass	0.0	pass	36.0	fail	pass	43.36624650520649	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A1_R2	fail	pass	pass	14477608.0	Conventional base calls	pass	Sample_IPO3916_A1_R2.fastq.gz	pass	0.0	fail	36.0	fail	pass	43.532378690400776	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	pass
Sample_IPO3916_A2_R1	fail	pass	pass	7231951.0	Conventional base calls	fail	Sample_IPO3916_A2_R1.fastq.gz	pass	0.0	fail	37.0	fail	pass	44.53595795104754	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
Sample_IPO3916_A2_R2	fail	pass	pass	7231951.0	Conventional base calls	fail	Sample_IPO3916_A2_R2.fastq.gz	pass	0.0	fail	37.0	fail	pass	44.77275239468674	pass	fail	126.0	126.0	Sanger / Illumina 1.9	fail	warn
