Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_fails	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length
Sample_IPO3916_A10_R1	67.66408099433139	25.0	2.9504791257253853	9593734.0	36.0	126.0
Sample_IPO3916_A10_R2	66.63370884368044	33.33333333333333	4.298914981945177	9593734.0	36.0	126.0
Sample_IPO3916_A11_R1	52.7287475209456	33.33333333333333	5.86944957583748	3971662.0	36.0	126.0
Sample_IPO3916_A11_R2	52.2560022519069	33.33333333333333	6.48956900239109	3971662.0	36.0	126.0
Sample_IPO3916_A12_R1	59.26251469916853	25.0	3.964294535079662	6297799.0	37.0	126.0
Sample_IPO3916_A12_R2	59.001078981339745	25.0	4.601758613390296	6297799.0	37.0	126.0
Sample_IPO3916_A1_R1	56.63375349479351	33.33333333333333	10.674972842352288	14477608.0	36.0	126.0
Sample_IPO3916_A1_R2	56.467621309599224	41.66666666666667	11.115225236760368	14477608.0	36.0	126.0
Sample_IPO3916_A2_R1	55.46404204895246	50.0	6.660953220173546	7231951.0	37.0	126.0
Sample_IPO3916_A2_R2	55.22724760531326	50.0	7.043570119357	7231951.0	37.0	126.0
Sample_IPO3916_A3_R1	52.60551861404798	25.0	8.461291315141821	3682127.0	38.0	126.0
Sample_IPO3916_A3_R2	52.472286206129056	41.66666666666667	8.832824114629984	3682127.0	38.0	126.0
Sample_IPO3916_A4_R1	81.0171477537088	33.33333333333333	3.4577423141115475	3916264.0	40.0	126.0
Sample_IPO3916_A4_R2	81.13132454898088	41.66666666666667	4.365867288029839	3916264.0	40.0	126.0
Sample_IPO3916_A5_R1	58.71159879954059	25.0	4.557818866631528	8165695.0	35.0	126.0
Sample_IPO3916_A5_R2	57.99756943602938	33.33333333333333	5.4270441525904785	8165695.0	35.0	126.0
Sample_IPO3916_A6_R1	60.07545629663556	25.0	7.635301644301571	7400726.0	39.0	126.0
