Sample	r_with_adapters	bp_processed	bp_written	r_processed	quality_trimmed	percent_trimmed
Sample_PRO1747_PlateG_A10_R1	3283059	1635172866	1608116172	13092489	6839480	1.654668724181239
Sample_PRO1747_PlateG_A10_R2	3368483	1649653614	1617947844	13092489	11497934	1.9219652981040904
Sample_PRO1747_PlateG_A11_R1	2833907	1450759458	1427070852	11610551	7408310	1.6328417415700902
Sample_PRO1747_PlateG_A11_R2	2930965	1462929426	1434719222	11610551	11785955	1.9283366305053735
Sample_PRO1747_PlateG_A12_R1	2372088	1122184590	1100392048	8984302	3737252	1.9419748046976837
Sample_PRO1747_PlateG_A12_R2	2454551	1132022052	1105534564	8984302	8470332	2.3398385175627303
Sample_PRO1747_PlateG_A1_R1	2967392	1466207214	1442622166	11732574	6609500	1.6085753619815433
Sample_PRO1747_PlateG_A1_R2	3080912	1478304324	1450043358	11732574	11096722	1.9117150333113686
Sample_PRO1747_PlateG_A2_R1	3640629	1870185774	1843207024	14970662	6884956	1.4425705924549503
Sample_PRO1747_PlateG_A2_R2	3742261	1886303412	1852513592	14970662	13803614	1.7913247564013843
Sample_PRO1747_PlateG_A3_R1	3708203	1888072332	1864885399	15119421	5525717	1.228074401971587
Sample_PRO1747_PlateG_A3_R2	3819879	1905047046	1875932561	15119421	11429127	1.5282816800315386
Sample_PRO1747_PlateG_A4_R1	2577146	1361445186	1342817625	10895733	5886211	1.3682196824044595
Sample_PRO1747_PlateG_A4_R2	2699738	1372862358	1351492559	10895733	8387060	1.556587146225769
Sample_PRO1747_PlateG_A5_R1	3664959	1944718212	1926668216	15562956	6904598	0.9281548292509125
Sample_PRO1747_PlateG_A5_R2	3795619	1960932456	1935315999	15562956	14379971	1.306340609622711
Sample_PRO1747_PlateG_A6_R1	2854343	1525315890	1508788627	12210047	6410055	1.0835305072446337
Sample_PRO1747_PlateG_A6_R2	2955834	1538465922	1517172020	12210047	11082114	1.3840996862847639
Sample_PRO1747_PlateG_A7_R1	3476228	1883552304	1860224757	15084552	9413369	1.2384868182561497
Sample_PRO1747_PlateG_A7_R2	3659389	1900653552	1875191811	15084552	11315298	1.3396308324159014
Sample_PRO1747_PlateG_A8_R1	3046249	1558299864	1533620703	12478362	8051673	1.5837234905899986
Sample_PRO1747_PlateG_A8_R2	3193877	1572273612	1543613656	12478362	11940778	1.8228351465838886
